gspp_id,gspp_title,gspp_level,coverage,confidence,gs_ids,gs_titles,rationale,gap_notes,model,timestamp
GC.1.1,Errichtung und Aufrechterhaltung eines ISMS,normal-SdT,voll,1.00,GC.1.1,GC.1.1: Errichtung und Aufrechterhaltung eines ISMS,"Der Kandidat [1] mit der ID 'GC.1.1' (Errichtung und Aufrechterhaltung eines ISMS) weist einen wortwörtlichen Inhaltlich Übereinstimmung mit der Zielanforderung 'GC.1.1 — Errichtung und Aufrechterhaltung eines ISMS' auf. Sowohl das Statement (Verfahren und Regelungen zur Errichtung und Aufrechterhaltung eines ISMS) als auch die Guidance (Definition von ISMS, Bedingungen für das Erfüllen der Anforderung, Kontext der weiteren Anforderungen) sind exakt identisch. Da dieser einzelne Kandidat den gesamten Target-Text abdeckt, ist er im minimalen Set enthalten. Alle anderen Kandidaten (z.B. GC.6.1.2, GC.4.1) sind für die Abdeckung des spezifischen Textes von GC.1.1 nicht notwendig, da dieser bereits allein vollständig ist.",,qwen/qwen3.5-flash-02-23,2026-04-22T15:42:06
GC.2.1,Festlegung des externen Kontextes der Institution,normal-SdT,voll,1.00,GC.2.1,GC.2.1: Festlegung des externen Kontextes der Institution,"Der Kandidat [1] GC.2.1 enthält exakt denselben Textinhalt wie die Zielanforderung GC.2.1. Das Statement (Verfahren zur Sammlung externer Rahmenbedingungen) und die Guidance (Analyze systematisch externe Faktoren: gesellschaftlich, rechtlich, technologisch, wirtschaftlich, ökologisch) sind wortwörtlich identisch. Damit werden alle wesentlichen Aspekte der GS++-Anforderung vollständig abgedeckt. Kein weiterer Kandidat ist für diese spezifische Anforderung notwendig, da keine Lücken existieren.",,qwen/qwen3.5-flash-02-23,2026-04-22T15:42:06
GC.2.2,Festlegung des internen Kontextes der Institution,normal-SdT,voll,1.00,GC.2.2,GC.2.2: Festlegung des internen Kontextes der Institution,"Der Kandidat [1] mit der ID GC.2.2 ist inhaltlich identisch mit der Zielanforderung GC.2.2. Beide enthalten dasselbe Statement zur Verankerung eines Verfahrens für interne Rahmenbedingungen und dieselbe Guidance zur Analyse interner Faktoren (Strategien, Werte, Ziele, Struktur, Prozesse, IT, Kultur). Damit ist die Abdeckung vollständig.",,qwen/qwen3.5-flash-02-23,2026-04-22T15:42:06
GC.3.1,Analyse der externen interessierten Parteien,normal-SdT,voll,1.00,GC.3.1,GC.3.1: Analyse der externen interessierten Parteien,"Der Kandidat [1] GC.3.1 — Analyse der externen interessierten Parteien enthält exakt den gleichen Wortlaut wie die Zielanforderung GC.3.1. Er deckt alle wesentlichen Aspekte ab: Verpflichtung zur Ermittlung aller externen interessierten Parteien und ihrer Bedürfnisse/Erwartungen, die Beispiele für relevante Parteien (Gesetzgeber, Kunden, etc.), sowie die Bewertung der Relevanz und Priorisierung für das ISMS. Da Inhalt und Zweck identisch sind, ist die Abdeckung vollständig.",,qwen/qwen3.5-flash-02-23,2026-04-22T15:42:06
GC.3.2,Analyse der internen interessierten Parteien,normal-SdT,voll,1.00,GC.3.2,GC.3.2: Analyse der internen interessierten Parteien,"Kandidat 1 (GC.3.2 — Analyse der internen interessierten Parteien) ist die exakte Entsprechung zur Zielanforderung. Der Statement-Text ist wortwörtlich identisch: 'Governance und Compliance MUSS ein Verfahren zum Ermitteln aller internen interessierten Parteien und ihrer Bedürfnisse und Erwartungen an das Informationssicherheitsmanagement der Institution verankern.' Das Guidance enthält dieselben Beispiele für interne interessierte Parteien (Geschäftsführung, Mitarbeiter, Führungskräfte, Betriebsrat/Personalrat). Alle wesentlichen Inhalte der GS++-Anforderung sind zu 100% abgedeckt.",,qwen/qwen3.5-flash-02-23,2026-04-22T15:42:06
GC.4.1,Festlegung des Geltungsbereichs,normal-SdT,voll,1.00,GC.4.1,GC.4.1: Festlegung des Geltungsbereichs,"Der Kandidat [1] (GC.4.1 — Festlegung des Geltungsbereichs) enthält exakt denselben Anforderungstext und dieselbe Guidance wie der Zieltext GS++. Die Anforderung fordert eine nachvollziehbare Festlegung und Dokumentation des ISMS-Geltungsbereichs, inklusive der Abgrenzung von Institutionsbereichen, Prozessen, Standorten, Systemen, externen Partnern und ausgeschlossenen Bereichen. Da der Text identisch ist, wird die Anforderung vollständig abgedeckt.",,qwen/qwen3.5-flash-02-23,2026-04-22T15:42:06
GC.5.1,Vorgehen bei der Infomationssicherheitseinstufung,normal-SdT,keine,0.95,,,"Der Kandidat [1] GC.5.1 ist identisch mit der GS++-Anforderung (selbe ID, Titel, Statement und Guidance). Er deckt alle wesentlichen Aspekte vollständig ab: (1) Verfahren für Festlegung von Geschäftsprozessen und Schutzbedarfseinstufung, (2) systematische Identifikation des Schutzbedarfs, (3) Unterscheidung zwischen Schutzbedarf 'normal' und 'hoch', (4) prozessorientierter Ansatz mit Verknüpfung von Geschäftsprozessen und Informationen. Der Kandidat [2] GC.5.1.2 bietet weitere Details zur Umsetzung, insbesondere zur Abstimmung mit der Institutionsleitung und zu Kriterien für die Einstufung, wird aber als zusätzliche Vertiefung betrachtet. [AUTO-KORREKTUR: Keine gültigen GS-IDs gefunden] [Hinweis: Ignorierte ungültige IDs: 1]",,qwen/qwen3.5-flash-02-23,2026-04-22T15:42:06
GC.5.1.1,Festlegung der Geschäftsprozesse,normal-SdT,voll,1.00,GC.5.1.1,GC.5.1.1: Festlegung der Geschäftsprozesse,,,qwen/qwen3.5-flash-02-23,2026-04-22T15:42:06
GC.5.1.2,Festlegung des Schutzbedarfs,normal-SdT,voll,1.00,GC.5.1.2,GC.5.1.2: Festlegung des Schutzbedarfs,"Kandidat [1] (GC.5.1.2) enthält wortwörtlich denselben Text wie die Zielanforderung (Grundschutz++) sowohl bezüglich des [statement] als auch des [guidance]. Er deckt alle Aspekte ab: die Festlegungspflicht, die Levels 'normal' und 'hoch', die Kriterien für 'hoch' (existenziel Schaden, besonders vertraulich) und die Rolle der Institutionsleitung. Da der Inhalt identisch ist, ist keine weitere Kandidatenkombination notwendig (minimales Set).",,qwen/qwen3.5-flash-02-23,2026-04-22T15:42:06
GC.5.1.3,Geschäftsprozesse mit hohem Schutzbedarf,normal-SdT,voll,1.00,GC.5.1.3,GC.5.1.3: Geschäftsprozesse mit hohem Schutzbedarf,"Der Kandidat GC.5.1.3 deckt den Zieltext vollständig ab, da Statement und Guidance wortwörtlich identisch sind. Er fordert explizit die Ausführung einer dedizierten Risikobetrachtung für Geschäftsprozesse mit hohem Schutzbedarf und die Verpflichtung zur Erstellung eines separaten Dokuments zur Risikomethodik.",,qwen/qwen3.5-flash-02-23,2026-04-22T15:42:06
