gspp_id,gspp_title,gspp_level,coverage,confidence,gs_ids,gs_titles,rationale,gap_notes,model,timestamp
GC.1.1,Errichtung und Aufrechterhaltung eines ISMS,normal-SdT,voll,0.99,GC.1.1,GC.1.1: Errichtung und Aufrechterhaltung eines ISMS,"Gemittelte Kandidatenscores: GC.1.1=0.99
Model-Entscheidungen:
[gpt-5.4] coverage=voll confidence=0.9900 gs_ids=GC.1.1
[gpt-5.4-mini] coverage=voll confidence=0.9900 gs_ids=GC.1.1
Model-Begründungen:
[gpt-5.4] GC.1.1 deckt die GS++-Anforderung vollständig ab, da ID, Titel, Muss-Formulierung und erläuternder Inhalt inhaltlich identisch sind: Verankerung von Verfahren und Regelungen zur Errichtung und Aufrechterhaltung eines ISMS, einschließlich standardkonformer Etablierung, vollständigem Durchlaufen der Vorgehensweise und kontinuierlicher Überprüfung bzw. Verbesserung. Andere Kandidaten wie GC.6.1.2, GC.4.1 oder GC.6.1 betreffen nur Teilaspekte eines ISMS und sind für die vollständige Abdeckung nicht erforderlich.
[gpt-5.4-mini] Die GS++-Anforderung GC.1.1 ist inhaltlich identisch mit dem Kandidaten GC.1.1. Beide verlangen die Errichtung und Aufrechterhaltung eines ISMS durch verankerte Verfahren und Regelungen; auch die Hinweise zur vollständigen Durchführung, Etablierung und kontinuierlichen Überprüfung decken sich vollständig.",,gpt-5.4+gpt-5.4-mini,2026-04-22T14:28:00
GC.2.1,Festlegung des externen Kontextes der Institution,normal-SdT,teilweise,0.47,GC.3.1; GC.6.1; GC.6.1.1; GC.6.1.3; GC.7.1,GC.3.1: Analyse der externen interessierten Parteien; GC.6.1: Festlegung von Zielen für die Informationssicherheit; GC.6.1.1: Festlegung einer Sicherheitsstrategie; GC.6.1.3: Erstellung einer Sicherheitsleitlinie; GC.7.1: Verfahren und Regelungen,"Gemittelte Kandidatenscores: GC.3.1=0.47, GC.6.1=0.47, GC.6.1.1=0.47, GC.6.1.3=0.47, GC.7.1=0.47
Model-Entscheidungen:
[gpt-5.4] coverage=keine confidence=0.9900 gs_ids=
[gpt-5.4-mini] coverage=teilweise confidence=0.9300 gs_ids=GC.3.1;GC.7.1;GC.6.1;GC.6.1.1;GC.6.1.3
Model-Begründungen:
[gpt-5.4] Keiner der Kandidaten ist eine klassische IT-Grundschutz-Anforderung im geforderten Format eines Bausteins mit Anforderungsnummer (z. B. ORP.x.Ay oder ISMS.x.Ay). Zwar ist Kandidat „GC.2.1“ inhaltlich identisch zur GS++-Anforderung, er ist jedoch derselbe GC/Grundschutz++-Eintrag und keine klassische Basis-/Standard-Anforderung. Die übrigen Kandidaten wie GC.2.2, GC.3.1 oder GC.7.1 betreffen nur Teilaspekte oder andere Kontexte und sind ebenfalls keine klassischen IT-Grundschutz-Anforderungen im verlangten Sinne.
[gpt-5.4-mini] GC.3.1 adressiert die Ermittlung externer interessierter Parteien und ihrer Bedürfnisse/Erwartungen; damit ist ein wesentlicher Teil der externen Umfeldanalyse für das ISMS abgedeckt. GC.7.1 deckt die Sammlung, Integration und Priorisierung rechtlicher, regulatorischer und vertraglicher Verpflichtungen ab und trifft damit einen weiteren Kernaspekt des externen Kontextes. GC.6.1 verlangt Ziele für die Informationssicherheit auf Basis identifizierter Rahmenbedingungen, und GC.6.1.1 sowie GC.6.1.3 binden diese konzeptionell in Sicherheitsstrategie bzw. Sicherheitsleitlinie ein. Zusammen bilden die Kandidaten aber nur einen Teil der geforderten Festlegung des externen Kontextes ab, weil die GS++-Anforderung ausdrücklich auch gesellschaftliche und kulturelle Faktoren, technologische Entwicklungen, wirtschaftliche Bedingungen sowie ökologische und physische Umweltbedingungen systematisch analysieren und dokumentieren lässt; diese breiten externen Kontextfaktoren werden durch die genannten IT-Grundschutz-Anforderungen nicht vollständig abgedeckt.","[gpt-5.4] Es wurde kein gültiger klassischer IT-Grundschutz-Kandidat (Basis/Standard) bereitgestellt, der die Anforderung abdecken könnte. Für eine belastbare Zuordnung wären klassische Kompendium-Anforderungen aus Bausteinen wie ISMS, ORP oder DER mit A-Nummer erforderlich.
[gpt-5.4-mini] Nicht abgedeckt bzw. nicht explizit gefordert sind die systematische Betrachtung gesellschaftlicher und kultureller Faktoren, technologischer Entwicklungen, wirtschaftlicher Marktbedingungen sowie ökologischer und physischer Umweltbedingungen am Standort. Außerdem verlangt die GS++-Anforderung ein explizites Verfahren zur Sammlung, Integration und Priorisierung aller externen Rahmenbedingungen; die Kandidaten adressieren nur Teilaspekte davon (v. a. Stakeholder/Compliance/Ziele/Leitlinie).",gpt-5.4+gpt-5.4-mini,2026-04-22T14:28:00
GC.2.2,Festlegung des internen Kontextes der Institution,normal-SdT,teilweise,0.49,GC.2.2,GC.2.2: Festlegung des internen Kontextes der Institution,"Gemittelte Kandidatenscores: GC.2.2=0.49
Model-Entscheidungen:
[gpt-5.4] coverage=keine confidence=0.9900 gs_ids=
[gpt-5.4-mini] coverage=voll confidence=0.9900 gs_ids=GC.2.2
Model-Begründungen:
[gpt-5.4] Keiner der angegebenen Kandidaten ist eine klassische IT-Grundschutz-Anforderung aus Basis/Standard mit gültiger GS-ID im geforderten Format, die hier als Mapping herangezogen werden könnte. Zwar ist Kandidat „GC.2.2“ inhaltlich identisch zur GS++-Anforderung, er ist jedoch dieselbe GC-Anforderung und keine klassische IT-Grundschutz-Anforderung (Basis/Standard) im Sinne der Aufgabenstellung. Die übrigen Kandidaten wie GC.2.1, GC.5.1.1, GC.6.1, GC.7.1 oder GC.3.2 adressieren andere Themen bzw. nur Teilaspekte, aber nicht die vollständige Festlegung des internen Kontextes der Institution.
[gpt-5.4-mini] GC.2.2 aus dem IT-Grundschutz-Kompendium deckt die Grundschutz++-Anforderung inhaltlich identisch ab: Beide fordern ein Verfahren zur Sammlung, Integration und Priorisierung relevanter interner Rahmenbedingungen für das Informationssicherheitsmanagement sowie die systematische Analyse und Dokumentation interner Faktoren wie Strategie, Struktur, Prozesse, Infrastruktur und Sicherheitskultur.","[gpt-5.4] Es fehlt unter den Kandidaten eine klassische IT-Grundschutz-Anforderung, die die systematische Sammlung, Integration, Priorisierung und Dokumentation aller internen Rahmenbedingungen für das ISMS abdeckt, einschließlich Strategien, Ziele, Aufbauorganisation, Prozesse, IT-Infrastruktur sowie Sicherheitskultur.",gpt-5.4+gpt-5.4-mini,2026-04-22T14:28:00
GC.3.1,Analyse der externen interessierten Parteien,normal-SdT,teilweise,0.49,GC.3.1,GC.3.1: Analyse der externen interessierten Parteien,"Gemittelte Kandidatenscores: GC.3.1=0.49
Model-Entscheidungen:
[gpt-5.4] coverage=keine confidence=0.9900 gs_ids=
[gpt-5.4-mini] coverage=voll confidence=0.9900 gs_ids=GC.3.1
Model-Begründungen:
[gpt-5.4] Keiner der angegebenen Kandidaten ist eine klassische IT-Grundschutz-Anforderung (Basis/Standard) im geforderten Sinne, sondern ebenfalls GC-Anforderungen aus demselben Governance-und-Compliance-Kontext. Daher liegt kein zulässiges Mapping auf eine oder mehrere klassische IT-Grundschutz-Anforderungen vor. Inhaltlich wäre Kandidat GC.3.1 zwar identisch, er ist aber keine klassische Basis-/Standard-Anforderung, sondern dieselbe Anforderung erneut.
[gpt-5.4-mini] Die Kandidatin GC.3.1 entspricht in Wortlaut und Inhalt exakt der GS++-Anforderung: Sie fordert ein Verfahren zum Ermitteln aller externen interessierten Parteien und ihrer Bedürfnisse und Erwartungen an das Informationssicherheitsmanagement sowie die Bewertung der Relevanz/Priorität und die Festlegung verbindlicher Verpflichtungen im ISMS.","[gpt-5.4] Es fehlt ein passender klassischer IT-Grundschutz-Kandidat (Basis/Standard) zur Analyse externer interessierter Parteien. Die vorliegenden Kandidaten decken entweder andere Inhalte ab (interne Parteien, Kontext, Compliance-Teilpflichten, Scope) oder sind keine zulässigen klassischen GS-Matches.",gpt-5.4+gpt-5.4-mini,2026-04-22T14:28:00
GC.3.2,Analyse der internen interessierten Parteien,normal-SdT,voll,0.99,GC.3.2,GC.3.2: Analyse der internen interessierten Parteien,"Gemittelte Kandidatenscores: GC.3.2=0.99
Model-Entscheidungen:
[gpt-5.4] coverage=voll confidence=1.0000 gs_ids=GC.3.2
[gpt-5.4-mini] coverage=voll confidence=0.9900 gs_ids=GC.3.2
Model-Begründungen:
[gpt-5.4] GC.3.2 deckt die GS++-Anforderung vollständig ab, da ID, Titel, Muss-Formulierung und inhaltlicher Fokus identisch sind: Es wird explizit ein Verfahren verlangt, um alle internen interessierten Parteien sowie deren Bedürfnisse und Erwartungen an das Informationssicherheitsmanagement zu ermitteln und organisatorisch zu verankern. Andere Kandidaten wie GC.3.1 oder GC.2.2 betreffen benachbarte, aber nicht gleichwertige Inhalte (externe Parteien bzw. interner Kontext).
[gpt-5.4-mini] GC.3.2 ist inhaltlich identisch zur GS++-Anforderung: Beide verlangen ein Verfahren zum Ermitteln aller internen interessierten Parteien sowie ihrer Bedürfnisse und Erwartungen an das Informationssicherheitsmanagement. Die genannten Beispiele (z. B. Geschäftsführung, Mitarbeitende, Führungskräfte, Betriebsrat/Personalrat) entsprechen ebenfalls der gleichen Zielrichtung.",,gpt-5.4+gpt-5.4-mini,2026-04-22T14:28:00
GC.4.1,Festlegung des Geltungsbereichs,normal-SdT,teilweise,0.49,GC.4.1,GC.4.1: Festlegung des Geltungsbereichs,"Gemittelte Kandidatenscores: GC.4.1=0.49
Model-Entscheidungen:
[gpt-5.4] coverage=voll confidence=0.9900 gs_ids=GC.4.1
[gpt-5.4-mini] coverage=keine confidence=0.9900 gs_ids=
Model-Begründungen:
[gpt-5.4] Die Anforderung GC.4.1 deckt die GS++-Anforderung vollständig ab, da sie wortgleich dieselbe Pflicht beschreibt: den nachvollziehbar abgegrenzten Geltungsbereich des ISMS nach Freigabe der Institutionsleitung festzulegen und zu dokumentieren. Auch die inhaltlichen Details stimmen überein, insbesondere die Festlegung des formalen und organisatorischen Umfangs, die Abgrenzung von Institutionsbereichen, Geschäftsprozessen, Tätigkeiten, Standorten, Systemen, externen Partnern/Dienstleistern sowie bewusst ausgeschlossenen Bereichen.
[gpt-5.4-mini] Keine der Kandidatenanforderungen deckt die spezifische Anforderung GC.4.1 zur nachvollziehbaren Festlegung des ISMS-Geltungsbereichs nach Freigabe der Institutionsleitung inhaltlich vollständig ab. GC.6.1.2 und GC.6.1.4 betreffen die Verpflichtung bzw. Autorisierung der Institutionsleitung, aber nicht die Scope-Festlegung. GC.2.1 und GC.2.2 behandeln externen bzw. internen Kontext, nicht die formale Abgrenzung des ISMS-Geltungsbereichs. GC.5.1.1, GC.5.1.2 und GC.5.1 behandeln Prozess- und Schutzbedarfseinstufung, nicht die Scope-Definition. GC.6.1.1, GC.6.1.3 und GC.6.1.4 betreffen Sicherheitsstrategie/-leitlinie. Daher gibt es keine echte inhaltliche Übereinstimmung.","[gpt-5.4-mini] Es fehlt eine Anforderung zur formalen Definition und Dokumentation des ISMS-Scope einschließlich organisatorischer und infrastruktureller Abgrenzung, Einbezug externer Partner/Dienstleister sowie bewusster Ausschlüsse; auch die Freigabe des abgegrenzten Geltungsbereichs durch die Institutionsleitung wird von keiner Kandidatin abgedeckt.",gpt-5.4+gpt-5.4-mini,2026-04-22T14:28:00
GC.5.1,Vorgehen bei der Infomationssicherheitseinstufung,normal-SdT,voll,0.99,GC.5.1; GC.5.1.1; GC.5.1.2,GC.5.1: Vorgehen bei der Infomationssicherheitseinstufung; GC.5.1.1: Festlegung der Geschäftsprozesse; GC.5.1.2: Festlegung des Schutzbedarfs,"Gemittelte Kandidatenscores: GC.5.1=0.99, GC.5.1.1=0.49, GC.5.1.2=0.49
Model-Entscheidungen:
[gpt-5.4] coverage=voll confidence=0.9900 gs_ids=GC.5.1
[gpt-5.4-mini] coverage=voll confidence=0.9900 gs_ids=GC.5.1;GC.5.1.2;GC.5.1.1
Model-Begründungen:
[gpt-5.4] GC.5.1 deckt die GS++-Anforderung vollständig ab, da ID, Titel, Statement und Guidance inhaltlich wortgleich sind: Es wird ausdrücklich ein Verfahren zur Festlegung relevanter Geschäftsprozesse und zur Einstufung des Schutzbedarfs dieser Geschäftsprozesse sowie der dabei verarbeiteten Informationen verlangt. Damit sind sowohl Verfahrensverankerung als auch der prozessorientierte Bezug auf Geschäftsprozesse und Informationen vollständig enthalten.
[gpt-5.4-mini] Die GS++-Anforderung GC.5.1 wird inhaltlich direkt durch GC.5.1 abgedeckt, da der Text identisch ist und exakt das Verfahren zur Festlegung von Geschäftsprozessen sowie zur Einstufung des Schutzbedarfs beschreibt. Zusätzlich konkretisiert GC.5.1.1 die Festlegung der relevanten Geschäftsprozesse und GC.5.1.2 die eigentliche Schutzbedarfsfestlegung für Geschäftsprozesse und Informationsarten. Zusammen bilden diese Anforderungen den prozessorientierten Ansatz der Informationssicherheitseinstufung vollständig ab.",[gpt-5.4-mini] Keine inhaltlichen Lücken gegenüber der GS++-Anforderung erkennbar.,gpt-5.4+gpt-5.4-mini,2026-04-22T14:28:00
GC.5.1.1,Festlegung der Geschäftsprozesse,normal-SdT,teilweise,0.49,GC.5.1.1,GC.5.1.1: Festlegung der Geschäftsprozesse,"Gemittelte Kandidatenscores: GC.5.1.1=0.49
Model-Entscheidungen:
[gpt-5.4] coverage=keine confidence=0.9900 gs_ids=
[gpt-5.4-mini] coverage=voll confidence=0.9900 gs_ids=GC.5.1.1
Model-Begründungen:
[gpt-5.4] Keiner der Kandidaten ist als klassische IT-Grundschutz-Anforderung im geforderten gültigen GS-ID-Format aus der Kandidatenliste verwendbar. Zwar ist Kandidat GC.5.1.1 inhaltlich identisch zur GS++-Anforderung, jedoch handelt es sich nicht um eine klassische IT-Grundschutz-Anforderung mit gültigem Baustein.A-Format gemäß den vorgegebenen Regeln. Daher ist kein zulässiges Mapping auswählbar.
[gpt-5.4-mini] Die Kandidatin GC.5.1.1 entspricht der GS++-Anforderung wort- und inhaltsgleich: Beide fordern, dass Governance und Compliance die für den Geltungsbereich relevanten Geschäftsprozesse festlegen. Es gibt keine inhaltlichen Abweichungen in Aspekt, Detaillierung oder Regelungsart.","[gpt-5.4] Formaler Gap: In der Kandidatenliste befindet sich keine zulässige klassische IT-Grundschutz-Anforderung im Format BAUSTEIN.Anummer, die für ein regelkonformes Mapping verwendet werden kann.",gpt-5.4+gpt-5.4-mini,2026-04-22T14:28:00
GC.5.1.2,Festlegung des Schutzbedarfs,normal-SdT,teilweise,0.49,GC.4.1; GC.5.1; GC.5.1.1; GC.5.1.2; GC.5.1.3; GC.6.1.2,GC.4.1: Festlegung des Geltungsbereichs; GC.5.1: Vorgehen bei der Infomationssicherheitseinstufung; GC.5.1.1: Festlegung der Geschäftsprozesse; GC.5.1.2: Festlegung des Schutzbedarfs; GC.5.1.3: Geschäftsprozesse mit hohem Schutzbedarf; GC.6.1.2: Verpflichtung der Institutionsleitung,"Gemittelte Kandidatenscores: GC.4.1=0.49, GC.5.1=0.49, GC.5.1.1=0.49, GC.5.1.2=0.49, GC.5.1.3=0.49, GC.6.1.2=0.49
Model-Entscheidungen:
[gpt-5.4] coverage=keine confidence=0.9900 gs_ids=
[gpt-5.4-mini] coverage=voll confidence=0.9900 gs_ids=GC.5.1.2;GC.5.1.1;GC.5.1;GC.5.1.3;GC.6.1.2;GC.4.1
Model-Begründungen:
[gpt-5.4] Keiner der angegebenen Kandidaten ist eine klassische IT-Grundschutz-Anforderung (Basis/Standard) mit gültiger GS-ID im geforderten Format, sondern es handelt sich um GC-/GS++-Einträge bzw. übergeordnete/verwandte Governance-Anforderungen. Zwar ist Kandidat „GC.5.1.2“ inhaltlich identisch zur Zielanforderung, er ist jedoch keine zulässige klassische GS-Anforderung im Sinne der vorgegebenen Mapping-Regeln. Daher ist kein gültiges Mapping auswählbar.
[gpt-5.4-mini] Die GS++-Anforderung GC.5.1.2 wird inhaltlich direkt durch GC.5.1.2 abgedeckt, da beide die Festlegung des Schutzbedarfs für relevante Geschäftsprozesse und Informationsarten unter Berücksichtigung von Geschäftsziele bzw. Institutionsleitung beschreiben. Ergänzend stützen GC.5.1.1 und GC.5.1 das vorgelagerte Vorgehen der Identifikation relevanter Geschäftsprozesse sowie das Verfahren zur Schutzbedarfsfeststellung. GC.5.1.3 deckt den Sonderfall der Geschäftsprozesse mit hohem Schutzbedarf und die dafür vorgesehene Risikobetrachtung ab, was mit dem Teil der GS++-Anforderung zur Einstufung auf 'hoch' übereinstimmt. GC.6.1.2 ist passend, weil die Entscheidung in Abstimmung mit bzw. unter Verantwortung der Institutionsleitung erfolgen soll. GC.4.1 unterstützt die Kontext- und Scope-Festlegung, die für die Bestimmung relevanter Geschäftsprozesse und Informationsarten vorausgesetzt wird.","[gpt-5.4] Es fehlt ein passender klassischer IT-Grundschutz-Kandidat (Basis/Standard) zur Schutzbedarfsfeststellung von Geschäftsprozessen und Informationsarten unter Einbezug von Geschäftszielen und Institutionsleitung.
[gpt-5.4-mini] Keine wesentlichen Lücken, da die direkt einschlägige Anforderung GC.5.1.2 den Kern bereits vollständig beschreibt. Die übrigen genannten Anforderungen sind unterstützend bzw. rahmenbildend.",gpt-5.4+gpt-5.4-mini,2026-04-22T14:28:00
GC.5.1.3,Geschäftsprozesse mit hohem Schutzbedarf,normal-SdT,teilweise,0.49,GC.5.1,GC.5.1: Vorgehen bei der Infomationssicherheitseinstufung,"Gemittelte Kandidatenscores: GC.5.1=0.49
Model-Entscheidungen:
[gpt-5.4] coverage=keine confidence=0.9900 gs_ids=
[gpt-5.4-mini] coverage=voll confidence=0.9900 gs_ids=GC.5.1
Model-Begründungen:
[gpt-5.4] Unter den angegebenen Kandidaten gibt es keine klassische IT-Grundschutz-Anforderung (Basis/Standard) im geforderten BAUSTEIN.A-Format, die als gültiger Match herangezogen werden kann. Zwar ist Kandidat GC.5.1.3 inhaltlich wortgleich zur GS++-Anforderung, er ist jedoch selbst eine GC-/GS++-artige Anforderung und keine klassische Kompendiums-Anforderung im Sinne der vorgegebenen Mapping-Regeln. Die übrigen Kandidaten wie GC.5.1, GC.5.1.2 oder GC.7.1 adressieren nur allgemeines Verfahren, Schutzbedarfsfestlegung oder Compliance-Regelungen, aber nicht präzise die geforderte dedizierte Risikobetrachtung für Geschäftsprozesse bzw. Informationsarten mit hohem Schutzbedarf einschließlich verbindlicher Vorgaben an die Risikomethodik.
[gpt-5.4-mini] Die Anforderung GC.5.1 deckt den Kern von GC.5.1.3 vollständig ab, da sie ein Verfahren zur Festlegung der Geschäftsprozesse und zur Einstufung des Schutzbedarfs der Geschäftsprozesse und der verarbeiteten Informationen verlangt. Die in GC.5.1.3 geforderte dedizierte Risikobetrachtung von Geschäftsprozessen oder Informationsarten mit hohem Schutzbedarf ist damit inhaltlich bereits enthalten; die Unterscheidung normal/hoch sowie die prozessorientierte Betrachtung sind identisch zum Ziel der Grundschutz++-Anforderung.","[gpt-5.4] Es fehlt eine klassische IT-Grundschutz-Anforderung, die explizit eine separate bzw. dedizierte Risikobetrachtung für hochschutzbedürftige Geschäftsprozesse oder Informationsarten sowie verbindliche methodische Vorgaben für diese Risikobetrachtung fordert.
[gpt-5.4-mini] Keine wesentlichen Lücken. Die Guidance von GC.5.1.3 zu einem separaten Dokument mit verbindlichen Vorgaben an die Risikomethodik geht über die Pflicht aus GC.5.1 hinaus, ändert aber den inhaltlichen Kern der Anforderung nicht.",gpt-5.4+gpt-5.4-mini,2026-04-22T14:28:00
