gspp_id,gspp_title,gspp_level,coverage,confidence,gs_id,gs_title,gs_baustein,gs_level,rationale,gap_notes,decision,discriminator_reasoning,original_model,discriminator_model,timestamp
ARCH.5.1.8,Inspektion verschlüsselter Verbindungen,normal-SdT,teilweise,0.45,NET.3.2.A21,Temporäre Entschlüsselung des Datenverkehrs,NET.3.2 Firewall,Standard,"Gemittelte Kandidatenscores: NET.3.2.A21=0.45, NET.3.2.A28=0.45, NET.1.1.A12=0.34, NET.3.2.A20=0.34
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8900 gs_ids=NET.3.2.A28;NET.3.2.A21
[manual:gspp_compliance_v3approach] coverage=voll confidence=0.6855 gs_ids=NET.3.2.A20;NET.1.1.A12
Model-Begründungen:
[gpt-5.4-mini] NET.3.2.A28 deckt die zentrale Filterung aktiver Inhalte durch Sicherheitsproxies ab und nennt ausdrücklich die Entschlüsselung verschlüsselten Datenverkehrs als Voraussetzung. NET.3.2.A21 passt ebenfalls inhaltlich, weil es die temporäre Entschlüsselung verschlüsselter Verbindungen in nicht vertrauenswürdige Netze zur Protokollverifikation und Schadsoftwareprüfung fordert. Beide Anforderungen adressieren damit die Inspektion verschlüsselter Verbindungen auf Netzwerkebene. Die GS++-Anforderung ist jedoch breiter, weil sie die Architektur für externe Netzanschlüsse allgemein auf die Inhaltsinspektion un- und verschlüsselter Verbindungen nach Inhaltsart ausrichtet; die Kandidaten fokussieren auf aktive Inhalte bzw. Malwareprüfung und beschreiben nicht die allgemeine, inhaltsabhängige Einschränkung aller Verbindungen.","[gpt-5.4-mini] Nicht vollständig abgedeckt sind die allgemeinere architekturelle Vorgabe für externe Netzanschlüsse sowie die explizite Inhaltssteuerung basierend auf der Art des Inhalts über unverschlüsselte und verschlüsselte Verbindungen hinaus. NET.3.2.A21 bezieht sich zudem nur auf temporäre Entschlüsselung in nicht vertrauenswürdige Netze und auf Protokoll-/Malwareprüfung, nicht auf jede Form von Inhaltsinspektion.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:22:53
ARCH.5.1.8,Inspektion verschlüsselter Verbindungen,normal-SdT,teilweise,0.45,NET.3.2.A28,Zentrale Filterung von aktiven Inhalten,NET.3.2 Firewall,Hoch,"Gemittelte Kandidatenscores: NET.3.2.A21=0.45, NET.3.2.A28=0.45, NET.1.1.A12=0.34, NET.3.2.A20=0.34
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8900 gs_ids=NET.3.2.A28;NET.3.2.A21
[manual:gspp_compliance_v3approach] coverage=voll confidence=0.6855 gs_ids=NET.3.2.A20;NET.1.1.A12
Model-Begründungen:
[gpt-5.4-mini] NET.3.2.A28 deckt die zentrale Filterung aktiver Inhalte durch Sicherheitsproxies ab und nennt ausdrücklich die Entschlüsselung verschlüsselten Datenverkehrs als Voraussetzung. NET.3.2.A21 passt ebenfalls inhaltlich, weil es die temporäre Entschlüsselung verschlüsselter Verbindungen in nicht vertrauenswürdige Netze zur Protokollverifikation und Schadsoftwareprüfung fordert. Beide Anforderungen adressieren damit die Inspektion verschlüsselter Verbindungen auf Netzwerkebene. Die GS++-Anforderung ist jedoch breiter, weil sie die Architektur für externe Netzanschlüsse allgemein auf die Inhaltsinspektion un- und verschlüsselter Verbindungen nach Inhaltsart ausrichtet; die Kandidaten fokussieren auf aktive Inhalte bzw. Malwareprüfung und beschreiben nicht die allgemeine, inhaltsabhängige Einschränkung aller Verbindungen.","[gpt-5.4-mini] Nicht vollständig abgedeckt sind die allgemeinere architekturelle Vorgabe für externe Netzanschlüsse sowie die explizite Inhaltssteuerung basierend auf der Art des Inhalts über unverschlüsselte und verschlüsselte Verbindungen hinaus. NET.3.2.A21 bezieht sich zudem nur auf temporäre Entschlüsselung in nicht vertrauenswürdige Netze und auf Protokoll-/Malwareprüfung, nicht auf jede Form von Inhaltsinspektion.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:22:53
ARCH.5.1.8,Inspektion verschlüsselter Verbindungen,normal-SdT,teilweise,0.45,NET.1.1.A12,Absicherung ausgehender interner Kommunikation zum Internet,NET.1.1 Netzarchitektur und -design,Basis,"Gemittelte Kandidatenscores: NET.3.2.A21=0.45, NET.3.2.A28=0.45, NET.1.1.A12=0.34, NET.3.2.A20=0.34
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8900 gs_ids=NET.3.2.A28;NET.3.2.A21
[manual:gspp_compliance_v3approach] coverage=voll confidence=0.6855 gs_ids=NET.3.2.A20;NET.1.1.A12
Model-Begründungen:
[gpt-5.4-mini] NET.3.2.A28 deckt die zentrale Filterung aktiver Inhalte durch Sicherheitsproxies ab und nennt ausdrücklich die Entschlüsselung verschlüsselten Datenverkehrs als Voraussetzung. NET.3.2.A21 passt ebenfalls inhaltlich, weil es die temporäre Entschlüsselung verschlüsselter Verbindungen in nicht vertrauenswürdige Netze zur Protokollverifikation und Schadsoftwareprüfung fordert. Beide Anforderungen adressieren damit die Inspektion verschlüsselter Verbindungen auf Netzwerkebene. Die GS++-Anforderung ist jedoch breiter, weil sie die Architektur für externe Netzanschlüsse allgemein auf die Inhaltsinspektion un- und verschlüsselter Verbindungen nach Inhaltsart ausrichtet; die Kandidaten fokussieren auf aktive Inhalte bzw. Malwareprüfung und beschreiben nicht die allgemeine, inhaltsabhängige Einschränkung aller Verbindungen.","[gpt-5.4-mini] Nicht vollständig abgedeckt sind die allgemeinere architekturelle Vorgabe für externe Netzanschlüsse sowie die explizite Inhaltssteuerung basierend auf der Art des Inhalts über unverschlüsselte und verschlüsselte Verbindungen hinaus. NET.3.2.A21 bezieht sich zudem nur auf temporäre Entschlüsselung in nicht vertrauenswürdige Netze und auf Protokoll-/Malwareprüfung, nicht auf jede Form von Inhaltsinspektion.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:22:53
ARCH.5.1.8,Inspektion verschlüsselter Verbindungen,normal-SdT,teilweise,0.45,NET.3.2.A20,Absicherung von grundlegenden Internetprotokollen,NET.3.2 Firewall,Standard,"Gemittelte Kandidatenscores: NET.3.2.A21=0.45, NET.3.2.A28=0.45, NET.1.1.A12=0.34, NET.3.2.A20=0.34
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8900 gs_ids=NET.3.2.A28;NET.3.2.A21
[manual:gspp_compliance_v3approach] coverage=voll confidence=0.6855 gs_ids=NET.3.2.A20;NET.1.1.A12
Model-Begründungen:
[gpt-5.4-mini] NET.3.2.A28 deckt die zentrale Filterung aktiver Inhalte durch Sicherheitsproxies ab und nennt ausdrücklich die Entschlüsselung verschlüsselten Datenverkehrs als Voraussetzung. NET.3.2.A21 passt ebenfalls inhaltlich, weil es die temporäre Entschlüsselung verschlüsselter Verbindungen in nicht vertrauenswürdige Netze zur Protokollverifikation und Schadsoftwareprüfung fordert. Beide Anforderungen adressieren damit die Inspektion verschlüsselter Verbindungen auf Netzwerkebene. Die GS++-Anforderung ist jedoch breiter, weil sie die Architektur für externe Netzanschlüsse allgemein auf die Inhaltsinspektion un- und verschlüsselter Verbindungen nach Inhaltsart ausrichtet; die Kandidaten fokussieren auf aktive Inhalte bzw. Malwareprüfung und beschreiben nicht die allgemeine, inhaltsabhängige Einschränkung aller Verbindungen.","[gpt-5.4-mini] Nicht vollständig abgedeckt sind die allgemeinere architekturelle Vorgabe für externe Netzanschlüsse sowie die explizite Inhaltssteuerung basierend auf der Art des Inhalts über unverschlüsselte und verschlüsselte Verbindungen hinaus. NET.3.2.A21 bezieht sich zudem nur auf temporäre Entschlüsselung in nicht vertrauenswürdige Netze und auf Protokoll-/Malwareprüfung, nicht auf jede Form von Inhaltsinspektion.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:22:53
ARCH.2.2.1,Externe Netzanschlüsse,normal-SdT,teilweise,0.80,NET.1.1.A11,Absicherung eingehender Kommunikation vom Internet in das interne Netz,NET.1.1 Netzarchitektur und -design,Basis,"Gemittelte Kandidatenscores: NET.1.1.A11=0.80, CON.7.A7=0.44, CON.7.A8=0.44, NET.3.3.A11=0.36
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8800 gs_ids=CON.7.A7;CON.7.A8;NET.1.1.A11
[manual:gspp_compliance_v3approach] coverage=voll confidence=0.7116 gs_ids=NET.3.3.A11;NET.1.1.A11
Model-Begründungen:
[gpt-5.4-mini] CON.7.A7 adressiert den sicheren Fernzugriff über VPN für mobile bzw. externe Zugriffe und damit einen Teil des Umgangs mit externen Netzanschlüssen. CON.7.A8 ergänzt dies für öffentliche WLANs, indem für den Zugriff auf das Netz der Institution VPN oder vergleichbare Sicherheitsmechanismen gefordert werden. NET.1.1.A11 deckt den eingangsseitigen, IP-basierten Zugriff aus dem Internet ins interne Netz über sichere Kommunikationskanäle und die Beschränkung auf vertrauenswürdige Systeme ab. Gemeinsam passen diese Anforderungen zur Zielrichtung der GS++-Anforderung, externe Zugänge zu kontrollieren und abzusichern.","[gpt-5.4-mini] Nicht vollständig abgedeckt ist der allgemeine architektonische Grundsatz, Verbindungen über externe Netzanschlüsse insgesamt zu minimieren bzw. zu beschränken. Insbesondere fehlt in den Kandidaten eine allgemeine Vorgabe zur Einschränkung aller externen Netzanschlüsse als Architekturprinzip; die vorhandenen Anforderungen fokussieren vor allem auf sicheren Fernzugriff, VPN-Nutzung und eingehende Internetzugriffe.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:22:53
ARCH.2.2.1,Externe Netzanschlüsse,normal-SdT,teilweise,0.80,CON.7.A7,Sicherer Remote-Zugriff auf das Netz der Institution,CON.7 Informationssicherheit auf Auslandsreisen,Basis,"Gemittelte Kandidatenscores: NET.1.1.A11=0.80, CON.7.A7=0.44, CON.7.A8=0.44, NET.3.3.A11=0.36
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8800 gs_ids=CON.7.A7;CON.7.A8;NET.1.1.A11
[manual:gspp_compliance_v3approach] coverage=voll confidence=0.7116 gs_ids=NET.3.3.A11;NET.1.1.A11
Model-Begründungen:
[gpt-5.4-mini] CON.7.A7 adressiert den sicheren Fernzugriff über VPN für mobile bzw. externe Zugriffe und damit einen Teil des Umgangs mit externen Netzanschlüssen. CON.7.A8 ergänzt dies für öffentliche WLANs, indem für den Zugriff auf das Netz der Institution VPN oder vergleichbare Sicherheitsmechanismen gefordert werden. NET.1.1.A11 deckt den eingangsseitigen, IP-basierten Zugriff aus dem Internet ins interne Netz über sichere Kommunikationskanäle und die Beschränkung auf vertrauenswürdige Systeme ab. Gemeinsam passen diese Anforderungen zur Zielrichtung der GS++-Anforderung, externe Zugänge zu kontrollieren und abzusichern.","[gpt-5.4-mini] Nicht vollständig abgedeckt ist der allgemeine architektonische Grundsatz, Verbindungen über externe Netzanschlüsse insgesamt zu minimieren bzw. zu beschränken. Insbesondere fehlt in den Kandidaten eine allgemeine Vorgabe zur Einschränkung aller externen Netzanschlüsse als Architekturprinzip; die vorhandenen Anforderungen fokussieren vor allem auf sicheren Fernzugriff, VPN-Nutzung und eingehende Internetzugriffe.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:22:53
ARCH.2.2.1,Externe Netzanschlüsse,normal-SdT,teilweise,0.80,CON.7.A8,Sichere Nutzung von öffentlichen WLANs,CON.7 Informationssicherheit auf Auslandsreisen,Basis,"Gemittelte Kandidatenscores: NET.1.1.A11=0.80, CON.7.A7=0.44, CON.7.A8=0.44, NET.3.3.A11=0.36
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8800 gs_ids=CON.7.A7;CON.7.A8;NET.1.1.A11
[manual:gspp_compliance_v3approach] coverage=voll confidence=0.7116 gs_ids=NET.3.3.A11;NET.1.1.A11
Model-Begründungen:
[gpt-5.4-mini] CON.7.A7 adressiert den sicheren Fernzugriff über VPN für mobile bzw. externe Zugriffe und damit einen Teil des Umgangs mit externen Netzanschlüssen. CON.7.A8 ergänzt dies für öffentliche WLANs, indem für den Zugriff auf das Netz der Institution VPN oder vergleichbare Sicherheitsmechanismen gefordert werden. NET.1.1.A11 deckt den eingangsseitigen, IP-basierten Zugriff aus dem Internet ins interne Netz über sichere Kommunikationskanäle und die Beschränkung auf vertrauenswürdige Systeme ab. Gemeinsam passen diese Anforderungen zur Zielrichtung der GS++-Anforderung, externe Zugänge zu kontrollieren und abzusichern.","[gpt-5.4-mini] Nicht vollständig abgedeckt ist der allgemeine architektonische Grundsatz, Verbindungen über externe Netzanschlüsse insgesamt zu minimieren bzw. zu beschränken. Insbesondere fehlt in den Kandidaten eine allgemeine Vorgabe zur Einschränkung aller externen Netzanschlüsse als Architekturprinzip; die vorhandenen Anforderungen fokussieren vor allem auf sicheren Fernzugriff, VPN-Nutzung und eingehende Internetzugriffe.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:22:53
ARCH.2.2.1,Externe Netzanschlüsse,normal-SdT,teilweise,0.80,NET.3.3.A11,Sichere Anbindung eines externen Netzes,NET.3.3 VPN,Standard,"Gemittelte Kandidatenscores: NET.1.1.A11=0.80, CON.7.A7=0.44, CON.7.A8=0.44, NET.3.3.A11=0.36
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8800 gs_ids=CON.7.A7;CON.7.A8;NET.1.1.A11
[manual:gspp_compliance_v3approach] coverage=voll confidence=0.7116 gs_ids=NET.3.3.A11;NET.1.1.A11
Model-Begründungen:
[gpt-5.4-mini] CON.7.A7 adressiert den sicheren Fernzugriff über VPN für mobile bzw. externe Zugriffe und damit einen Teil des Umgangs mit externen Netzanschlüssen. CON.7.A8 ergänzt dies für öffentliche WLANs, indem für den Zugriff auf das Netz der Institution VPN oder vergleichbare Sicherheitsmechanismen gefordert werden. NET.1.1.A11 deckt den eingangsseitigen, IP-basierten Zugriff aus dem Internet ins interne Netz über sichere Kommunikationskanäle und die Beschränkung auf vertrauenswürdige Systeme ab. Gemeinsam passen diese Anforderungen zur Zielrichtung der GS++-Anforderung, externe Zugänge zu kontrollieren und abzusichern.","[gpt-5.4-mini] Nicht vollständig abgedeckt ist der allgemeine architektonische Grundsatz, Verbindungen über externe Netzanschlüsse insgesamt zu minimieren bzw. zu beschränken. Insbesondere fehlt in den Kandidaten eine allgemeine Vorgabe zur Einschränkung aller externen Netzanschlüsse als Architekturprinzip; die vorhandenen Anforderungen fokussieren vor allem auf sicheren Fernzugriff, VPN-Nutzung und eingehende Internetzugriffe.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:22:53
ARCH.1.1.1,Dokumentation,normal-SdT,teilweise,0.42,APP.2.1.A1,Erstellung einer Sicherheitsrichtlinie für Verzeichnisdienste,APP.2.1 Allgemeiner Verzeichnisdienst,Basis,"Gemittelte Kandidatenscores: APP.2.1.A1=0.42, APP.6.A10=0.42, APP.7.A6=0.42, CON.10.A11=0.42, CON.8.A12=0.42, DER.3.1.A6=0.42, DER.4.A12=0.42, IND.1.A11=0.42, IND.2.7.A1=0.42, NET.1.2.A12=0.42, ORP.2.A1=0.42, SYS.1.1.A11=0.42, SYS.4.4.A6=0.42
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8400 gs_ids=APP.6.A10;DER.4.A12;NET.1.2.A12;CON.8.A12;APP.2.1.A1;SYS.1.1.A11;SYS.4.4.A6;CON.10.A11;APP.7.A6;IND.1.A11;IND.2.7.A1;DER.3.1.A6;ORP.2.A1
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] Die Anforderungen APP.6.A10, SYS.1.1.A11, SYS.4.4.A6 und APP.2.1.A1 verlangen jeweils, Regelungen in einer Sicherheitsrichtlinie festzuhalten; CON.8.A12, CON.10.A11, APP.7.A6, NET.1.2.A12, IND.1.A11 und IND.2.7.A1 verlangen eine Dokumentation von Architektur-, Betriebs-, Entwicklungs-, Netzmanagement- bzw. System-/OT-Aspekten sowie Rollen und Zuständigkeiten; DER.4.A12 und DER.3.1.A6 behandeln die Dokumentation von Prozessen, Entscheidungen und Bewertungsschemata; ORP.2.A1 verlangt, Mitarbeitende über Regelungen, Handlungsanweisungen und Verfahrensweisen zu informieren. Zusammen decken diese Anforderungen den Dokumentationsgedanken der GS++-Anforderung in weiten Teilen ab. Sie adressieren jedoch nicht vollständig die spezifische Pflicht, die Verfahren und Regelungen der Architektur als verbindliche, zielgruppenorientierte Dokumentation der Architektur selbst zu dokumentieren.","[gpt-5.4-mini] Nicht vollständig abgedeckt ist die explizite architekturspezifische Dokumentation von Verfahren und Regelungen als Teil der Architektur-Governance, insbesondere die Ausrichtung der Dokumentation an Management- und Umsetzungsrollen sowie der generische Charakter einer übergreifenden, verbindlichen Regelungsdokumentation für die gesamte Architektur.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:22:53
ARCH.1.1.1,Dokumentation,normal-SdT,teilweise,0.42,APP.6.A10,Erstellung einer Sicherheitsrichtlinie für den Einsatz der Software,APP.6 Allgemeine Software,Standard,"Gemittelte Kandidatenscores: APP.2.1.A1=0.42, APP.6.A10=0.42, APP.7.A6=0.42, CON.10.A11=0.42, CON.8.A12=0.42, DER.3.1.A6=0.42, DER.4.A12=0.42, IND.1.A11=0.42, IND.2.7.A1=0.42, NET.1.2.A12=0.42, ORP.2.A1=0.42, SYS.1.1.A11=0.42, SYS.4.4.A6=0.42
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8400 gs_ids=APP.6.A10;DER.4.A12;NET.1.2.A12;CON.8.A12;APP.2.1.A1;SYS.1.1.A11;SYS.4.4.A6;CON.10.A11;APP.7.A6;IND.1.A11;IND.2.7.A1;DER.3.1.A6;ORP.2.A1
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] Die Anforderungen APP.6.A10, SYS.1.1.A11, SYS.4.4.A6 und APP.2.1.A1 verlangen jeweils, Regelungen in einer Sicherheitsrichtlinie festzuhalten; CON.8.A12, CON.10.A11, APP.7.A6, NET.1.2.A12, IND.1.A11 und IND.2.7.A1 verlangen eine Dokumentation von Architektur-, Betriebs-, Entwicklungs-, Netzmanagement- bzw. System-/OT-Aspekten sowie Rollen und Zuständigkeiten; DER.4.A12 und DER.3.1.A6 behandeln die Dokumentation von Prozessen, Entscheidungen und Bewertungsschemata; ORP.2.A1 verlangt, Mitarbeitende über Regelungen, Handlungsanweisungen und Verfahrensweisen zu informieren. Zusammen decken diese Anforderungen den Dokumentationsgedanken der GS++-Anforderung in weiten Teilen ab. Sie adressieren jedoch nicht vollständig die spezifische Pflicht, die Verfahren und Regelungen der Architektur als verbindliche, zielgruppenorientierte Dokumentation der Architektur selbst zu dokumentieren.","[gpt-5.4-mini] Nicht vollständig abgedeckt ist die explizite architekturspezifische Dokumentation von Verfahren und Regelungen als Teil der Architektur-Governance, insbesondere die Ausrichtung der Dokumentation an Management- und Umsetzungsrollen sowie der generische Charakter einer übergreifenden, verbindlichen Regelungsdokumentation für die gesamte Architektur.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4,2026-04-22T11:22:53
