gspp_id,gspp_title,gspp_level,coverage,confidence,gs_ids,gs_titles,rationale,gap_notes,model,timestamp
GC.8.1.1,Festlegung von Rollen und Zuständigkeiten,normal-SdT,teilweise,0.6695,ISMS.1.A4; ISMS.1.A6; ISMS.1.A9; ISMS.1.A1; IND.1.A1,ISMS.1.A4 Benennung eines Informationssicherheitsbeauftragten; ISMS.1.A6 Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit; ISMS.1.A9 Integration der Informationssicherheit in organisationsweite Abläufe und Prozesse; ISMS.1.A1 übernahme der Gesamtverantwortung für Informationssicherheit durch die Leitungsebene; IND.1.A1 Einbindung in die Sicherheitsorganisation,N/A,N/A,text-embedding-3-small,2026-04-21T09:10:23
GC.8.1.2,Stellvertreterregelungen,normal-SdT,teilweise,0.604,ISMS.1.A6,ISMS.1.A6 Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit,N/A,N/A,text-embedding-3-small,2026-04-21T09:10:23
GC.8.1.3,Vermeidung von Interessenkonflikten,normal-SdT,teilweise,0.6228,ISMS.1.A9; ISMS.1.A6; ISMS.1.A14; ISMS.1.A2; DER.3.1.A5,ISMS.1.A9 Integration der Informationssicherheit in organisationsweite Abläufe und Prozesse; ISMS.1.A6 Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit; ISMS.1.A14 Sensibilisierung zur Informationssicherheit; ISMS.1.A2 Festlegung der Sicherheitsziele und -strategie; DER.3.1.A5 Integration in den Informationssicherheitsprozess,N/A,N/A,text-embedding-3-small,2026-04-21T09:10:23
GC.8.1.4,Festlegung einer Sicherheitsorganisation,normal-SdT,teilweise,0.6788,ISMS.1.A6; IND.1.A1; ISMS.1.A9; ISMS.1.A2; ISMS.1.A13,ISMS.1.A6 Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit; IND.1.A1 Einbindung in die Sicherheitsorganisation; ISMS.1.A9 Integration der Informationssicherheit in organisationsweite Abläufe und Prozesse; ISMS.1.A2 Festlegung der Sicherheitsziele und -strategie; ISMS.1.A13 Dokumentation des Sicherheitsprozesses,N/A,N/A,text-embedding-3-small,2026-04-21T09:10:23
ARCH.2.2.8,Segmentierung von Test und Betrieb,normal-SdT,teilweise,0.6425,OPS.1.1.6.A13; APP.2.2.A15; NET.1.1.A23; NET.1.1.A31,OPS.1.1.6.A13 Trennung von Test- und Qualitätsmanagement-Umgebung von der Produktivumgebung; APP.2.2.A15 Trennung von Administrations- und Produktionsumgebung; NET.1.1.A23 Trennung von Sicherheitssegmenten; NET.1.1.A31 Physische Trennung von Sicherheitssegmenten,N/A,N/A,text-embedding-3-small,2026-04-21T09:10:23
ARCH.5.1.11,P-A-P-Struktur,normal-SdT,teilweise,0.6312,NET.1.1.A18; NET.3.2.A16,"NET.1.1.A18 P-A-P-Struktur für die Internet-Anbindung; NET.3.2.A16 Aufbau einer ""P-A-P""-Struktur",N/A,N/A,text-embedding-3-small,2026-04-21T09:10:23
ARCH.8.1,Redundanz im Kernnetz,normal-SdT,teilweise,0.6157,NET.3.4.A13; NET.1.1.A28; SYS.1.2.2.A12; INF.2.A26,NET.3.4.A13 Einsatz von Hochverfügbarkeitslösungen; NET.1.1.A28 Hochverfügbare Netz- und Sicherheitskomponenten; SYS.1.2.2.A12 Redundanz und Hochverfügbarkeit; INF.2.A26 Redundante Auslegung von Netzersatzanlagen,N/A,N/A,text-embedding-3-small,2026-04-21T09:10:23
ASST.5.1,Wartungsbedarf dokumentieren,normal-SdT,teilweise,0.6254,INF.2.A10; OPS.1.1.2.A11; INF.4.A6,INF.2.A10 Inspektion und Wartung der Infrastruktur; OPS.1.1.2.A11 Dokumentation von IT-Administrationstätigkeiten; INF.4.A6 Laufende Fortschreibung und Revision der Netzdokumentation,N/A,N/A,text-embedding-3-small,2026-04-21T09:10:23
ASST.5.2,Geregelte Wartungen,normal-SdT,teilweise,0.6395,OPS.1.1.2.A12; INF.2.A10; INF.2.A3,OPS.1.1.2.A12 Regelungen für Wartungs- und Reparaturarbeiten; INF.2.A10 Inspektion und Wartung der Infrastruktur; INF.2.A3 Einsatz einer unterbrechungsfreien Stromversorgung,N/A,N/A,text-embedding-3-small,2026-04-21T09:10:23
ASST.5.5,Wartungsfenster,normal-SdT,teilweise,0.6174,INF.2.A3; INF.2.A10,INF.2.A3 Einsatz einer unterbrechungsfreien Stromversorgung; INF.2.A10 Inspektion und Wartung der Infrastruktur,N/A,N/A,text-embedding-3-small,2026-04-21T09:10:23
