gspp_id,gspp_title,gspp_level,coverage,confidence,gs_ids,gs_titles,rationale,gap_notes,model,timestamp
GC.1.1,Errichtung und Aufrechterhaltung eines ISMS,normal-SdT,teilweise,0.78,ORP.5.A4; DER.3.1.A5; ORP.5.A8; ORP.5.A2; IND.1.A1; DER.3.2.A5; OPS.2.3.A6,ORP.5.A4: Konzeption und Organisation des Compliance Managements; DER.3.1.A5: Integration in den Informationssicherheitsprozess; ORP.5.A8: Regelmäßige Überprüfungen des Compliance Managements; ORP.5.A2: Beachtung der Rahmenbedingungen; IND.1.A1: Einbindung in die Sicherheitsorganisation; DER.3.2.A5: Auswahl eines geeigneten IS-Revisionsteams; OPS.2.3.A6: Festlegung von Sicherheitsanforderungen und Erstellung eines Sicherheitskonzeptes für das Outsourcing-Vorhaben,"Mehrere der aufgeführten IT‑Grundschutz-Anforderungen decken Teilaspekte von GC.1.1 ab: ORP.5.A4 und ORP.5.A2 adressieren Prozesse, Organisationsstrukturen und Zuständigkeiten (Aufbau von Prozessen zur Identifikation rechtlicher/regelungsbezogener Anforderungen und Festlegung von Verantwortlichkeiten). DER.3.1.A5 sowie DER.3.2.A5 decken das Element der internen Auditierung, Lenkung von Korrekturmaßnahmen und die praktische Umsetzung von Prüfungen (Aufrechterhaltung/Verbesserung) ab. ORP.5.A8 ergänzt dies durch regelmäßige Überprüfungen der Effizienz des Compliance-Managements. IND.1.A1 und OPS.2.3.A6 stellen nachvollziehbare Anforderungen an das Vorhandensein eines ISMS in speziellen Kontexten (OT bzw. Outsourcing-Vertragliche Forderungen) und damit an die Etablierung eines ISMS in Teilbereichen bzw. bei Partnern.","Nicht vollständig abgedeckt: Es fehlt eine eindeutige, institutionsweiten Verpflichtung zur formalen Errichtung eines ISMS nach dem geforderten Standard (parametrisierte Vorgabe), inklusive der Anforderung, die komplette ISMS-Vorgehensweise mindestens einmal vollständig durchlaufen und nachweislich etabliert zu haben. Ebenfalls nicht vollständig dargestellt sind die Vorgaben zur ‚Verankerung von Verfahren und Regelungen‘ auf Governance-Ebene (z. B. verbindliche drill-down-Regelungen für alle Mitarbeitenden) und die umfassende, kontinuierliche Überprüfung und Steuerung des ISMS als Ganzes (GC.1.1 verlangt standardkonforme Errichtung UND fortlaufende Aufrechterhaltung über die gesamte Institution). Einige Kandidaten sind nur kontextspezifisch (OT, Outsourcing) oder beschränken sich auf Compliance-Review/Audit-Aspekte, decken also nicht das vollständige, ganzheitliche ISMS-Lebenszyklus- und Governance-Mandat von GC.1.1 ab.",gpt-5-mini,2026-04-21T09:44:59
GC.2.1,Festlegung des externen Kontextes der Institution,normal-SdT,teilweise,0.75,ORP.5.A1; ORP.5.A4; ORP.5.A8; ISMS.1.A2,ORP.5.A1: Identifikation der Rahmenbedingungen; ORP.5.A4: Konzeption und Organisation des Compliance Managements; ORP.5.A8: Regelmäßige Überprüfungen des Compliance Managements; ISMS.1.A2: Festlegung der Sicherheitsziele und -strategie,"ORP.5.A1 (Identifikation der Rahmenbedingungen) und ORP.5.A4 (Konzeption und Organisation des Compliance Managements) decken wesentliche Teile der GS++-Anforderung ab: sie verlangen die Identifikation und Dokumentation von gesetzlichen, vertraglichen und sonstigen Vorgaben mit Auswirkung auf das ISMS sowie den Aufbau von Prozessen/Organisationsstrukturen zur Behandlung dieser Vorgaben und die Zusammenarbeit von Compliance und Informationssicherheitsbeauftragten (Integration von sicherheitsrelevanten Anforderungen). ORP.5.A8 ergänzt dies durch die Forderung nach regelmäßigen Überprüfungen und damit nach Aktualisierung des Compliance-Managements. ISMS.1.A2 stellt sicher, dass die Institutionsleitung Sicherheitsziele und -strategie festlegt und regelmäßig überprüft und damit einen Rahmen für die Einbindung externer Erkenntnisse in die Sicherheitsstrategie bietet. Zusammen adressieren diese Anforderungen Teile der Sammlung, Dokumentation, Integration und Aktualisierung externer Rahmenbedingungen, insbesondere im rechtlich/vertraglichen Bereich und hinsichtlich organisatorischer Einbindung.","Nicht oder nur unzureichend abgedeckt sind in den Kandidaten die folgenden zentralen Aspekte der GS++-Anforderung: • Systematische Analyse und Dokumentation nicht-rechtlicher externer Faktoren (gesellschaftliche und kulturelle Faktoren, wirtschaftliche Marktbedingungen, technologische Entwicklungen, ökologische und physische Umweltbedingungen am Standort) in geforderter Breite. • Explizite Vorgabe eines Verfahrens zur Priorisierung der ermittelten externen Faktoren hinsichtlich ihrer Relevanz für Informationssicherheitsziele/Strategie (Priorisierungsprozess fehlt). • Explizite Forderung nach Integration aller externen Faktoren (über rechtliche/vertragliche Vorgaben hinaus) in die Sicherheitsziele/-strategie is weder umfassend noch verbindlich geregelt. • Forderung nach regelmäßiger, systematischer Dokumentation und Gewichtung aller genannten Kategorien (gesellschaftlich, technologisch, wirtschaftlich, ökologisch/physisch) fehlt. Daher ist die GS++-Anforderung nur teilweise durch die genannten GS-Anforderungen abgedeckt.",gpt-5-mini,2026-04-21T09:44:59
GC.2.2,Festlegung des internen Kontextes der Institution,normal-SdT,teilweise,0.75,ORP.5.A4; ISMS.1.A2; ORP.5.A8,ORP.5.A4: Konzeption und Organisation des Compliance Managements; ISMS.1.A2: Festlegung der Sicherheitsziele und -strategie; ORP.5.A8: Regelmäßige Überprüfungen des Compliance Managements,"Die ausgewählten Bausteine decken Teile der GC.2.2-Anforderung ab: ORP.5.A4 fordert den Aufbau eines Prozesses und von Organisationsstrukturen sowie die Festlegung Zuständiger und die Integration sicherheitsrelevanter Anforderungen in das Compliance-Management (Überlappung mit der Forderung nach einem Verfahren und Verantwortlichkeiten). ISMS.1.A2 verlangt, dass die Institutionsleitung Sicherheitsziele und eine Sicherheitsstrategie festlegt und organisatorische Rahmenbedingungen schafft (Überlappung mit Zielen/Strategie und Leitungsverantwortung). ORP.5.A8 ergänzt um die regelmäßige Überprüfung von Prozessen und Organisationsstrukturen (Lebenszyklusaspekt). Zusammen adressieren diese Anforderungen Prozessaufbau, Verantwortlichkeiten, Integration von Sicherheitsanforderungen, Ziel-/Strategiefestlegung und Prüfungen.","Wesentliche Elemente von GC.2.2 sind nicht oder nur unzureichend abgedeckt: keine explizite Forderung zur systematischen Analyse, Dokumentation und Priorisierung aller internen Rahmenbedingungen (z. B. Institutionsstrategien, Werte, Kultur, detaillierte Organisationsstruktur, Arbeitsabläufe, vorhandene IT-Infrastruktur und Informationssysteme). Es fehlt ein verbindliches Verfahren zur Erfassung, Integration und Gewichtung dieser internen Faktoren sowie die Verpflichtung, die Ergebnisse systematisch zu dokumentieren. Die Kandidaten fokussieren überwiegend auf rechtliche/Compliance-Aspekte, Leitungs‑/Zielsetzungen und die Prozessprüfung, aber nicht auf eine umfassende, dokumentierte Bestandsaufnahme und Priorisierung des internen Kontextes.",gpt-5-mini,2026-04-21T09:44:59
GC.3.1,Analyse der externen interessierten Parteien,normal-SdT,teilweise,0.75,ORP.5.A4; ORP.5.A2,ORP.5.A4: Konzeption und Organisation des Compliance Managements; ORP.5.A2: Beachtung der Rahmenbedingungen,"ORP.5.A4 fordert den Aufbau eines Prozesses, um alle relevanten gesetzlichen, vertraglichen und sonstigen Vorgaben mit Auswirkungen auf das Informationssicherheitsmanagement zu identifizieren und geeignete Prozesse/Organisationsstrukturen dafür zu schaffen. Das entspricht dem Anspruch, Anforderungen externer Rahmenbedingungen systematisch zu erfassen. ORP.5.A2 stellt sicher, dass als sicherheitsrelevant identifizierte Anforderungen bei Planung und Konzeption berücksichtigt und Verantwortlichkeiten für deren Einhaltung festgelegt werden, was dem GS++-Aspekt entspricht, identifizierte Anforderungen in das ISMS einfließen zu lassen.","Die Kandidaten fordern nicht explizit das Ermitteln und Dokumentieren aller externen interessierten Parteien (Stakeholder-Liste) und deren konkreten Bedürfnisse/Erwartungen (z. B. Gesetzgeber, Kunden, Dienstleister, Öffentlichkeit). Es fehlt eine explizite Vorgabe zur Bewertung/Relevanzfeststellung und Priorisierung der identifizierten Anforderungen sowie zur formalen Entscheidung, welche dieser Anforderungen als verbindliche Verpflichtungen ins ISMS übernommen werden. Ferner fehlt die ausdrückliche Fokussierung auf ""externe interessierte Parteien"" gegenüber lediglich rechtlichen/vertraglichen Anforderungen.",gpt-5-mini,2026-04-21T09:44:59
GC.3.2,Analyse der internen interessierten Parteien,normal-SdT,teilweise,0.80,DER.2.1.A5; DER.2.1.A4; DER.2.2.A1; ORP.5.A4,DER.2.1.A5: Behebung von Sicherheitsvorfällen; DER.2.1.A4: Benachrichtigung betroffener Stellen bei Sicherheitsvorfällen; DER.2.2.A1: Prüfung rechtlicher und regulatorischer Rahmenbedingungen zur Erfassung und Auswertbarkeit; ORP.5.A4: Konzeption und Organisation des Compliance Managements,"Keine der gelisteten GS-Anforderungen verlangt explizit ein institutionsweites Verfahren zur Ermittlung aller internen interessierten Parteien und ihrer Bedürfnisse/Erwartungen für das Informationssicherheitsmanagement. Die ausgewählten Anforderungen zeigen inhaltliche Teilüberschneidungen: DER.2.1.A5 fordert eine aktuelle Liste interner und externer Ansprechpartner und sichere Kommunikationswege (Ansatz eines Inventars relevanter interner Stellen). DER.2.1.A4 und DER.2.2.A1 schreiben vor, bei Vorfällen bzw. forensischen Maßnahmen bestimmte interne Organe (z. B. Betriebs-/Personalrat, Datenschutzbeauftragte) einzubeziehen — das erkennt relevante interne Parteien in konkreten Kontexten an. ORP.5.A4 fordert Prozesse zur Identifikation relevanter rechtlicher/vertraglicher Vorgaben und die Etablierung von Zuständigkeiten im Compliance-Management (teilweise Methodik zur Identifikation von Anforderungen und zuständigen Rollen).","Fehlt: eine verbindliche, übergreifende Vorgabe zur systematischen Ermittlung aller internen interessierten Parteien (z. B. Geschäftsführung, Mitarbeitende, Führungskräfte, Betriebs-/Personalrat) und ihrer Bedürfnisse/Erwartungen bezogen auf das gesamte ISMS. Die Kandidaten sind kontextgebunden (Vorfall-/forensikspezifisch) oder adressieren die Identifikation rechtlicher Anforderungen, nicht die generelle Stakeholder-Analyse und Dokumentation von Anforderungen/Erwartungen für das Governance/ISMS. Es fehlt außerdem die Forderung nach einem Verfahren, das regelmäßig überprüft und aktualisiert wird, sowie die Erfassung der Bedürfnisse/Erwartungen dieser internen Parteien.",gpt-5-mini,2026-04-21T09:44:59
GC.4.1,Festlegung des Geltungsbereichs,normal-SdT,teilweise,0.80,ISMS.1.A3; ISMS.1.A2,ISMS.1.A3: Erstellung einer Leitlinie zur Informationssicherheit; ISMS.1.A2: Festlegung der Sicherheitsziele und -strategie,"ISMS.1.A3 verlangt, dass die Institutionsleitung eine Leitlinie zur Informationssicherheit verabschiedet und dabei ein klarer Geltungsbereich für die Leitlinie festgelegt sein MUSS. Damit wird die Kernforderung, dass ein formaler und dokumentierter Scope existiert und von der Leitung getragen wird, unmittelbar angesprochen. ISMS.1.A2 stärkt dies, indem sie die Verantwortung der Institutionsleitung für die Initiative und Etablierung des Sicherheitsprozesses sowie für Sicherheitsziele und -strategie festlegt und damit die Einbindung der Leitung in die Scope-Festlegung unterstützt. Zusammen decken die beiden Anforderungen den Grundsatz der Festlegung und Dokumentation eines Leitlinien-/ISMS-Geltungsbereichs und die Verantwortung der Leitung ab.","Nicht vollständig abgedeckt sind die in GC.4.1 konkret geforderten Detailinhalte des Geltungsbereichs: explizite Forderungen, welche Institutionsbereiche, Geschäftsprozesse und Tätigkeiten formell zum Geltungsbereich gehören; die infrastrukturelle Abgrenzung (konkrete Standorte und Systeme); die Nennung einzubeziehender externer Partner/Dienstleister sowie die ausdrückliche Benennung bewusst ausgeschlossener Bereiche. Ebenfalls nennt GC.4.1 explizit, dass Governance und Compliance den Geltungsbereich nach Freigabe durch die Institutionsleitung festlegen — eine klare Zuweisung der operativen Zuständigkeit an Governance/Compliance nach Leitungsgenehmigung findet sich in den genannten GS-Anforderungen nicht in dieser Deutlichkeit. Diese fehlenden Detailanforderungen müssen ergänzend geregelt werden.",gpt-5-mini,2026-04-21T09:44:59
GC.5.1,Vorgehen bei der Infomationssicherheitseinstufung,normal-SdT,teilweise,0.78,OPS.1.2.4.A10; CON.6.A12; CON.6.A1; INF.7.A1; SYS.3.1.A6; SYS.3.2.1.A1; INF.11.A3,OPS.1.2.4.A10: Durchführung einer Anforderungsanalyse für den Telearbeitsplatz; CON.6.A12: Mindestanforderungen an Verfahren zur Löschung und Vernichtung; CON.6.A1: Regelung für die Löschung und Vernichtung von Informationen; INF.7.A1: Geeignete Auswahl und Nutzung eines Büroraumes; SYS.3.1.A6: Sicherheitsrichtlinien für Laptops; SYS.3.2.1.A1: Festlegung einer Richtlinie für den Einsatz von Smartphones und Tablets; INF.11.A3: Regelungen für die Fahrzeugbenutzung,"Keine der Kandidaten beschreibt ein institutionell verankertes, prozessorientiertes Verfahren zur Festlegung von Geschäftsprozessen und zur Einstufung des Schutzbedarfs (Normal/Hoch) der Geschäftsprozesse und der verarbeiteten Informationen im Sinne von GC.5.1. Die ausgewählten Bausteine decken jedoch Teilaspekte ab: OPS.1.2.4.A10 verlangt die Feststellung und Dokumentation des Schutzbedarfs der am Telearbeitsplatz verarbeiteten Informationen; CON.6.A12 und CON.6.A1 fordern, Verfahren zum Löschen/Vernichten in Abhängigkeit vom Schutzbedarf und durch Fachverantwortliche für Fachverfahren/Geschäftsprozesse zu regeln; INF.7.A1 verlangt Auswahl/Ausstattung von Räumen entsprechend dem Schutzbedarf der dort verarbeiteten Informationen; SYS.3.1.A6 und SYS.3.2.1.A1 schreiben Richtlinien, die regeln, welche Informationen auf Endgeräten verarbeitet werden dürfen (implizite Einordnung nach Schutzbedarf); INF.11.A3 fordert Regeln, welche Informationen in Fahrzeugen transportiert/ bearbeitet werden dürfen und welche Schutzvorkehrungen zu treffen sind. Zusammen adressieren diese Hinweise die Notwendigkeit, Schutzbedarf zu bestimmen und daraus Maßnahmen abzuleiten, allerdings nur in spezifischen Kontexten.","Fehlende Elemente im Vergleich zu GC.5.1: ein zentrales, prozessorientiertes und institutionell verankertes Verfahren zur Festlegung und Dokumentation von Geschäftsprozessen; eine explizit beschriebene Einstufungsmethodik mit den definierten Stufen (mind. ‚normal‘ und ‚hoch‘); verbindliche Zuständigkeiten für die Einstufung auf Governance-Ebene; verbindliche Vorgaben zur Verknüpfung von Geschäftsprozessen und den jeweiligen Informationen (Mapping-Prozess); einheitliche Dokumentations- und Review-Prozesse für die Einstufungen. Die Kandidaten liefern nur bereichs- oder kontextbezogene Anforderungen und keine vollständige, einrichtungsweiten Vorgehensweise zur Informationssicherheitseinstufung.",gpt-5-mini,2026-04-21T09:44:59
GC.5.1.1,Festlegung der Geschäftsprozesse,normal-SdT,teilweise,0.70,OPS.1.1.1.A12; ORP.5.A4; OPS.1.1.3.A7,OPS.1.1.1.A12: Spezifikation und Umsetzung klarer Betriebsprozesse; ORP.5.A4: Konzeption und Organisation des Compliance Managements; OPS.1.1.3.A7: Integration des Änderungsmanagements in die Geschäftsprozesse,"Keiner der Kandidaten fordert institutionell verbindlich, dass Governance und Compliance die für einen Geltungsbereich relevanten Geschäftsprozesse insgesamt festlegt und dokumentiert. OPS.1.1.1.A12 verlangt die Spezifikation und Umsetzung klarer Betriebsprozesse und deckt damit das Erstellen und Beschreiben von Prozessen ab, ist aber auf den IT-Betrieb beschränkt. ORP.5.A4 fordert den Aufbau von Prozessen/Organisation zur Identifikation und Behandlung rechtlicher und regulatorischer Anforderungen und die Festlegung Zuständiger – das unterstützt das Ermitteln relevanter Anforderungen über Bereiche hinweg, ersetzt aber nicht das vollständige Erfassen bzw. Festlegen aller Geschäftsprozesse für einen Geltungsbereich. OPS.1.1.3.A7 beschreibt die Integration des Änderungsmanagements in Geschäftsprozesse und berücksichtigt die Berücksichtigung betroffener Geschäftsprozesse bei Änderungen, was Awareness und Einbindung von Geschäftsprozessen fördert, aber nicht deren systematische Festlegung verlangt.","Nicht abgedeckt ist die explizite, verpflichtende Festlegung aller für den Geltungsbereich relevanten Geschäftsprozesse durch Governance/Compliance sowie das Erstellen einer Prozessübersicht/Prozesslandkarte. Ebenfalls fehlt eine Vorgabe, wie bei fehlender Prozessübersicht technische und organisatorische Praktiken als Ausgangsvorschlag systematisch zu nutzen sind (Hinweis auf Prozessschritt 2). Außerdem ist der Geltungsbereich in den Kandidaten überwiegend auf IT-Betrieb bzw. Compliance/Änderungsmanagement beschränkt; eine organisationsweite, governance-geführte Prozessfestlegung wird nicht vollständig verlangt.",gpt-5-mini,2026-04-21T09:44:59
GC.5.1.2,Festlegung des Schutzbedarfs,normal-SdT,teilweise,0.65,ISMS.1.A2; SYS.3.2.2.A1,ISMS.1.A2: Festlegung der Sicherheitsziele und -strategie; SYS.3.2.2.A1: Festlegung einer Strategie für das Mobile Device Management,"ISMS.1.A2 deckt den Aspekt ab, dass die Institutionsleitung den Sicherheitsprozess initiiert, Sicherheitsziele und -strategie festlegt und Verantwortung trägt — also die erforderliche Einbindung der Leitung und das Setzen organisatorischer Rahmenbedingungen. SYS.3.2.2.A1 verlangt explizit, dass Strategien (hier für MDM) auf dem Schutzbedarf der zu verarbeitenden Informationen basieren, also bestätigt die Notwendigkeit, Schutzbedarf zu ermitteln und zu berücksichtigen. Zusammen belegen die beiden Bausteine Teile der GS++-Anforderung: Einbindung der Leitung, Festlegung einer Sicherheitsstrategie und die Orientierung von Maßnahmen an Schutzbedarf.","Nicht abgedeckt sind mehrere zentrale Elemente der GS++-Anforderung: (1) Es fehlt eine explizite Verpflichtung, einen institutionweiten Prozess zur Einstufung des Schutzbedarfs von relevanten Geschäftsprozessen und Informationsarten durch Governance & Compliance einzurichten. (2) Es fehlt die konkrete Vorgabe zur formalen Einstufungsskala („normal“ vs. „hoch“) und die Kriterien (existenzbedrohender finanzieller oder Reputationsschaden, besonders vertrauliche Informationen). (3) Es fehlt die Anforderung, die Priorisierung (Identifikation des wichtigsten Geschäftsprozesses und Festlegung durch die Institutionsleitung) verbindlich durchzuführen und als Ergebnis eine Übersicht des Schutzbedarfs zu erstellen. (4) Es fehlt die Vorgabe zur Abstimmung der Einstufung explizit mit der Institutionsleitung durch die Governance-&-Compliance-Funktion.",gpt-5-mini,2026-04-21T09:44:59
GC.5.1.3,Geschäftsprozesse mit hohem Schutzbedarf,normal-SdT,teilweise,0.65,ISMS.1.A10; ORP.5.A4; ORP.5.A2; APP.2.2.A5,ISMS.1.A10: Erstellung eines Sicherheitskonzepts; ORP.5.A4: Konzeption und Organisation des Compliance Managements; ORP.5.A2: Beachtung der Rahmenbedingungen; APP.2.2.A5: Absicherung des Domänencontrollers,"Die GS‑++‑Anforderung verlangt eine dedizierte Risikobetrachtung für Geschäftsprozesse/Informationsarten mit hohem Schutzbedarf und ein separates Dokument, das verbindliche Vorgaben an die Risikomethodik enthält. ISMS.1.A10 verlangt eine Risikobewertung im Sicherheitsprozess und die Ableitung konkreter Maßnahmen aus identifiziertem Schutzbedarf und Risiko — damit wird der allgemeine Anspruch auf Risikobewertung und Berücksichtigung von Schutzbedarf abgedeckt. ORP.5.A4 und ORP.5.A2 adressieren Compliance‑Prozesse und die Einbeziehung sicherheitsrelevanter/rahmenrechtlicher Anforderungen in Prozesse, was Governance/Compliance‑Aufgaben zur Identifikation relevanter Anforderungen unterstützt. APP.2.2.A5 fordert explizit eine Risikobetrachtung für einen kritischen IT‑Asset (Domänencontroller) und zeigt die Notwendigkeit konkreter Risikoanalysen für kritische Bereiche auf.","Kein Kandidat fordert explizit, dass Governance und Compliance eine dedizierte, gesondert dokumentierte Risikobetrachtung speziell für Geschäftsprozesse oder Informationsarten mit hohem Schutzbedarf durchführt. Auch fehlt in den Kandidaten die Anforderung an ein separates Dokument mit verbindlichen Vorgaben zur Risikomethodik (Methodik‑Vorgaben, verbindlicher Aufbau/Format oder formale Genehmigung durch Governance). APP.2.2.A5 ist asset‑spezifisch (Domänencontroller) und nicht prozess-/Informationsarten‑bezogen. ISMS.1.A10 deckt die allgemeine Risikobewertung ab, aber nicht die Forderung nach einer dedizierten, Governance/Compliance‑getragenen Risikobetrachtung für hochschutzbedürftige Geschäftsprozesse noch das separate Methodik‑Dokument.",gpt-5-mini,2026-04-21T09:44:59
