gspp_id,gspp_title,gspp_level,coverage,confidence,gs_ids,gs_titles,gs_levels,rationale,gap_notes,model,timestamp
GC.1.1,Errichtung und Aufrechterhaltung eines ISMS,normal-SdT,teilweise,0.6863,ISMS.1.A11; ISMS.1.A7; ISMS.1.A10; ISMS.1.A13; ISMS.1.A6,ISMS.1.A11: Aufrechterhaltung der Informationssicherheit; ISMS.1.A7: Festlegung von Sicherheitsmaßnahmen; ISMS.1.A10: Erstellung eines Sicherheitskonzepts; ISMS.1.A13: Dokumentation des Sicherheitsprozesses; ISMS.1.A6: Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit,Standard; Basis; Standard; Standard; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
GC.2.2,Festlegung des internen Kontextes der Institution,normal-SdT,teilweise,0.6742,ISMS.1.A2; ISMS.1.A1; ORP.5.A4; ORP.5.A1; ISMS.1.A6,ISMS.1.A2: Festlegung der Sicherheitsziele und -strategie; ISMS.1.A1: Übernahme der Gesamtverantwortung für Informationssicherheit durch die Leitung; ORP.5.A4: Konzeption und Organisation des Compliance Managements; ORP.5.A1: Identifikation der Rahmenbedingungen; ISMS.1.A6: Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit,Basis; Basis; Standard; Basis; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
GC.3.1,Analyse der externen interessierten Parteien,normal-SdT,teilweise,0.6579,ISMS.1.A7; ORP.5.A4; ISMS.1.A11; ISMS.1.A9; ISMS.1.A6,ISMS.1.A7: Festlegung von Sicherheitsmaßnahmen; ORP.5.A4: Konzeption und Organisation des Compliance Managements; ISMS.1.A11: Aufrechterhaltung der Informationssicherheit; ISMS.1.A9: Integration der Informationssicherheit in organisationsweite Abläufe und Prozesse; ISMS.1.A6: Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit,Basis; Standard; Standard; Basis; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
GC.4.1,Festlegung des Geltungsbereichs,normal-SdT,teilweise,0.6393,ISMS.1.A7; ISMS.1.A9; ISMS.1.A11; ISMS.1.A10; ISMS.1.A1,ISMS.1.A7: Festlegung von Sicherheitsmaßnahmen; ISMS.1.A9: Integration der Informationssicherheit in organisationsweite Abläufe und Prozesse; ISMS.1.A11: Aufrechterhaltung der Informationssicherheit; ISMS.1.A10: Erstellung eines Sicherheitskonzepts; ISMS.1.A1: Übernahme der Gesamtverantwortung für Informationssicherheit durch die Leitung,Basis; Basis; Standard; Standard; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
GC.6.1,Festlegung von Zielen für die Informationssicherheit,normal-SdT,teilweise,0.6224,ISMS.1.A2; ISMS.1.A11; ISMS.1.A3; ISMS.1.A10,ISMS.1.A2: Festlegung der Sicherheitsziele und -strategie; ISMS.1.A11: Aufrechterhaltung der Informationssicherheit; ISMS.1.A3: Erstellung einer Leitlinie zur Informationssicherheit; ISMS.1.A10: Erstellung eines Sicherheitskonzepts,Basis; Standard; Basis; Standard,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
GC.6.1.2,Verpflichtung der Institutionsleitung,normal-SdT,teilweise,0.718,ISMS.1.A1; ISMS.1.A2; ISMS.1.A9; ISMS.1.A6; ISMS.1.A3,ISMS.1.A1: Übernahme der Gesamtverantwortung für Informationssicherheit durch die Leitung; ISMS.1.A2: Festlegung der Sicherheitsziele und -strategie; ISMS.1.A9: Integration der Informationssicherheit in organisationsweite Abläufe und Prozesse; ISMS.1.A6: Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit; ISMS.1.A3: Erstellung einer Leitlinie zur Informationssicherheit,Basis; Basis; Basis; Basis; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
GC.6.1.3,Erstellung einer Sicherheitsleitlinie,normal-SdT,teilweise,0.7159,ISMS.1.A3; ISMS.1.A1; ISMS.1.A2; ISMS.1.A11; ISMS.1.A6,ISMS.1.A3: Erstellung einer Leitlinie zur Informationssicherheit; ISMS.1.A1: Übernahme der Gesamtverantwortung für Informationssicherheit durch die Leitung; ISMS.1.A2: Festlegung der Sicherheitsziele und -strategie; ISMS.1.A11: Aufrechterhaltung der Informationssicherheit; ISMS.1.A6: Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit,Basis; Basis; Basis; Standard; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
GC.8.1.1,Festlegung von Rollen und Zuständigkeiten,normal-SdT,teilweise,0.7079,ISMS.1.A9; ISMS.1.A6; ISMS.1.A1; ISMS.1.A4; ISMS.1.A11,ISMS.1.A9: Integration der Informationssicherheit in organisationsweite Abläufe und Prozesse; ISMS.1.A6: Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit; ISMS.1.A1: Übernahme der Gesamtverantwortung für Informationssicherheit durch die Leitung; ISMS.1.A4: Benennung eines oder einer Informationssicherheitsbeauftragten; ISMS.1.A11: Aufrechterhaltung der Informationssicherheit,Basis; Basis; Basis; Basis; Standard,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
GC.8.1.2,Stellvertreterregelungen,normal-SdT,teilweise,0.6308,ISMS.1.A6; ISMS.1.A8; ISMS.1.A1; ISMS.1.A11; ISMS.1.A9,ISMS.1.A6: Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit; ISMS.1.A8: Integration der Mitarbeitenden in den Sicherheitsprozess; ISMS.1.A1: Übernahme der Gesamtverantwortung für Informationssicherheit durch die Leitung; ISMS.1.A11: Aufrechterhaltung der Informationssicherheit; ISMS.1.A9: Integration der Informationssicherheit in organisationsweite Abläufe und Prozesse,Basis; Basis; Basis; Standard; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
GC.8.1.3,Vermeidung von Interessenkonflikten,normal-SdT,teilweise,0.6713,ISMS.1.A6; ISMS.1.A11; ISMS.1.A7; ISMS.1.A8; ISMS.1.A9,ISMS.1.A6: Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit; ISMS.1.A11: Aufrechterhaltung der Informationssicherheit; ISMS.1.A7: Festlegung von Sicherheitsmaßnahmen; ISMS.1.A8: Integration der Mitarbeitenden in den Sicherheitsprozess; ISMS.1.A9: Integration der Informationssicherheit in organisationsweite Abläufe und Prozesse,Basis; Standard; Basis; Basis; Basis,N/A,N/A,text-embedding-3-small,2026-04-22T08:25:15
