gspp_id,gspp_title,gspp_level,coverage,confidence,gs_id,gs_title,gs_baustein,gs_level,rationale,gap_notes,decision,discriminator_reasoning,original_model,discriminator_model,timestamp
GC.5.1.1,Festlegung der Geschäftsprozesse,normal-SdT,teilweise,0.39,OPS.1.1.1.A12,Spezifikation und Umsetzung klarer Betriebsprozesse,OPS.1.1.1 Allgemeiner IT-Betrieb,Standard,"Gemittelte Kandidatenscores: OPS.1.1.1.A12=0.39, OPS.2.2.A1=0.39, ORP.5.A4=0.39, ORP.5.A8=0.39
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.7800 gs_ids=OPS.1.1.1.A12;ORP.5.A4;ORP.5.A8;OPS.2.2.A1
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ORP.5.A4 passt inhaltlich am ehesten, weil dort geeignete Prozesse und Organisationsstrukturen aufgebaut werden sollen, um relevante Anforderungen und Zuständigkeiten im Compliance-Kontext zu beherrschen; das berührt die Festlegung relevanter Geschäftsprozesse jedoch nur indirekt. OPS.1.1.1.A12 deckt den Aspekt ab, für Aufgaben Betriebsprozesse zu spezifizieren und Schnittstellen festzulegen, was der formalen Prozessfestlegung ähnelt, aber auf den IT-Betrieb begrenzt ist. OPS.1.1.1.A12 ist daher nur eine Teillösung für die geforderte Festlegung der für den Geltungsbereich relevanten Geschäftsprozesse. ORP.5.A8 behandelt die regelmäßige Überprüfung von Compliance-Prozessen und deren Angemessenheit, nicht aber deren erstmalige Festlegung; es unterstützt die Governance-Perspektive nur am Rand. OPS.2.2.A1 verlangt zwar die Festlegung einer Cloud-Nutzungsstrategie mit Zielen, Rahmenbedingungen und der Festlegung zukünftig bezogener Dienste, bezieht sich aber nur auf Cloud-Nutzung und nicht allgemein auf relevante Geschäftsprozesse. Insgesamt wird die allgemeine Pflicht, die für den Geltungsbereich relevanten Geschäftsprozesse festzulegen, nur teilweise abgedeckt.","[gpt-5.4-mini] Nicht abgedeckt sind die allgemeine, bereichsübergreifende Festlegung aller für den Geltungsbereich relevanten Geschäftsprozesse sowie die explizite Herleitung aus bestehenden Prozesslandkarten oder Hilfsprozessen. Die Kandidaten sind entweder auf Compliance, IT-Betrieb oder Cloud-Nutzung begrenzt und ersetzen keine vollständige Prozesslandkarte für die Institution.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4-thinking,2026-04-22T11:35:51
GC.5.1.1,Festlegung der Geschäftsprozesse,normal-SdT,teilweise,0.39,OPS.2.2.A1,Erstellung einer Strategie für die Cloud-Nutzung,OPS.2.2 Cloud-Nutzung,Basis,"Gemittelte Kandidatenscores: OPS.1.1.1.A12=0.39, OPS.2.2.A1=0.39, ORP.5.A4=0.39, ORP.5.A8=0.39
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.7800 gs_ids=OPS.1.1.1.A12;ORP.5.A4;ORP.5.A8;OPS.2.2.A1
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ORP.5.A4 passt inhaltlich am ehesten, weil dort geeignete Prozesse und Organisationsstrukturen aufgebaut werden sollen, um relevante Anforderungen und Zuständigkeiten im Compliance-Kontext zu beherrschen; das berührt die Festlegung relevanter Geschäftsprozesse jedoch nur indirekt. OPS.1.1.1.A12 deckt den Aspekt ab, für Aufgaben Betriebsprozesse zu spezifizieren und Schnittstellen festzulegen, was der formalen Prozessfestlegung ähnelt, aber auf den IT-Betrieb begrenzt ist. OPS.1.1.1.A12 ist daher nur eine Teillösung für die geforderte Festlegung der für den Geltungsbereich relevanten Geschäftsprozesse. ORP.5.A8 behandelt die regelmäßige Überprüfung von Compliance-Prozessen und deren Angemessenheit, nicht aber deren erstmalige Festlegung; es unterstützt die Governance-Perspektive nur am Rand. OPS.2.2.A1 verlangt zwar die Festlegung einer Cloud-Nutzungsstrategie mit Zielen, Rahmenbedingungen und der Festlegung zukünftig bezogener Dienste, bezieht sich aber nur auf Cloud-Nutzung und nicht allgemein auf relevante Geschäftsprozesse. Insgesamt wird die allgemeine Pflicht, die für den Geltungsbereich relevanten Geschäftsprozesse festzulegen, nur teilweise abgedeckt.","[gpt-5.4-mini] Nicht abgedeckt sind die allgemeine, bereichsübergreifende Festlegung aller für den Geltungsbereich relevanten Geschäftsprozesse sowie die explizite Herleitung aus bestehenden Prozesslandkarten oder Hilfsprozessen. Die Kandidaten sind entweder auf Compliance, IT-Betrieb oder Cloud-Nutzung begrenzt und ersetzen keine vollständige Prozesslandkarte für die Institution.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4-thinking,2026-04-22T11:35:51
GC.5.1.1,Festlegung der Geschäftsprozesse,normal-SdT,teilweise,0.39,ORP.5.A4,Konzeption und Organisation des Compliance Managements,ORP.5 Compliance Management (Anforderungsmanagement),Standard,"Gemittelte Kandidatenscores: OPS.1.1.1.A12=0.39, OPS.2.2.A1=0.39, ORP.5.A4=0.39, ORP.5.A8=0.39
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.7800 gs_ids=OPS.1.1.1.A12;ORP.5.A4;ORP.5.A8;OPS.2.2.A1
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ORP.5.A4 passt inhaltlich am ehesten, weil dort geeignete Prozesse und Organisationsstrukturen aufgebaut werden sollen, um relevante Anforderungen und Zuständigkeiten im Compliance-Kontext zu beherrschen; das berührt die Festlegung relevanter Geschäftsprozesse jedoch nur indirekt. OPS.1.1.1.A12 deckt den Aspekt ab, für Aufgaben Betriebsprozesse zu spezifizieren und Schnittstellen festzulegen, was der formalen Prozessfestlegung ähnelt, aber auf den IT-Betrieb begrenzt ist. OPS.1.1.1.A12 ist daher nur eine Teillösung für die geforderte Festlegung der für den Geltungsbereich relevanten Geschäftsprozesse. ORP.5.A8 behandelt die regelmäßige Überprüfung von Compliance-Prozessen und deren Angemessenheit, nicht aber deren erstmalige Festlegung; es unterstützt die Governance-Perspektive nur am Rand. OPS.2.2.A1 verlangt zwar die Festlegung einer Cloud-Nutzungsstrategie mit Zielen, Rahmenbedingungen und der Festlegung zukünftig bezogener Dienste, bezieht sich aber nur auf Cloud-Nutzung und nicht allgemein auf relevante Geschäftsprozesse. Insgesamt wird die allgemeine Pflicht, die für den Geltungsbereich relevanten Geschäftsprozesse festzulegen, nur teilweise abgedeckt.","[gpt-5.4-mini] Nicht abgedeckt sind die allgemeine, bereichsübergreifende Festlegung aller für den Geltungsbereich relevanten Geschäftsprozesse sowie die explizite Herleitung aus bestehenden Prozesslandkarten oder Hilfsprozessen. Die Kandidaten sind entweder auf Compliance, IT-Betrieb oder Cloud-Nutzung begrenzt und ersetzen keine vollständige Prozesslandkarte für die Institution.",remove,Keine Entscheidung erhalten - als notwendig betrachtet [STRICT: removed due to limit],gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4-thinking,2026-04-22T11:35:51
GC.5.1.1,Festlegung der Geschäftsprozesse,normal-SdT,teilweise,0.39,ORP.5.A8,Regelmäßige Überprüfungen des Compliance Managements,ORP.5 Compliance Management (Anforderungsmanagement),Standard,"Gemittelte Kandidatenscores: OPS.1.1.1.A12=0.39, OPS.2.2.A1=0.39, ORP.5.A4=0.39, ORP.5.A8=0.39
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.7800 gs_ids=OPS.1.1.1.A12;ORP.5.A4;ORP.5.A8;OPS.2.2.A1
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ORP.5.A4 passt inhaltlich am ehesten, weil dort geeignete Prozesse und Organisationsstrukturen aufgebaut werden sollen, um relevante Anforderungen und Zuständigkeiten im Compliance-Kontext zu beherrschen; das berührt die Festlegung relevanter Geschäftsprozesse jedoch nur indirekt. OPS.1.1.1.A12 deckt den Aspekt ab, für Aufgaben Betriebsprozesse zu spezifizieren und Schnittstellen festzulegen, was der formalen Prozessfestlegung ähnelt, aber auf den IT-Betrieb begrenzt ist. OPS.1.1.1.A12 ist daher nur eine Teillösung für die geforderte Festlegung der für den Geltungsbereich relevanten Geschäftsprozesse. ORP.5.A8 behandelt die regelmäßige Überprüfung von Compliance-Prozessen und deren Angemessenheit, nicht aber deren erstmalige Festlegung; es unterstützt die Governance-Perspektive nur am Rand. OPS.2.2.A1 verlangt zwar die Festlegung einer Cloud-Nutzungsstrategie mit Zielen, Rahmenbedingungen und der Festlegung zukünftig bezogener Dienste, bezieht sich aber nur auf Cloud-Nutzung und nicht allgemein auf relevante Geschäftsprozesse. Insgesamt wird die allgemeine Pflicht, die für den Geltungsbereich relevanten Geschäftsprozesse festzulegen, nur teilweise abgedeckt.","[gpt-5.4-mini] Nicht abgedeckt sind die allgemeine, bereichsübergreifende Festlegung aller für den Geltungsbereich relevanten Geschäftsprozesse sowie die explizite Herleitung aus bestehenden Prozesslandkarten oder Hilfsprozessen. Die Kandidaten sind entweder auf Compliance, IT-Betrieb oder Cloud-Nutzung begrenzt und ersetzen keine vollständige Prozesslandkarte für die Institution.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4-thinking,2026-04-22T11:35:51
GC.2.1,Festlegung des externen Kontextes der Institution,normal-SdT,teilweise,0.46,ORP.5.A1,Identifikation der Rahmenbedingungen,ORP.5 Compliance Management (Anforderungsmanagement),Basis,"Gemittelte Kandidatenscores: ORP.5.A1=0.46, ORP.5.A4=0.46
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.9100 gs_ids=ORP.5.A1;ORP.5.A4
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ORP.5.A1 deckt den Kern der Anforderung ab, weil dort alle gesetzlichen, vertraglichen und sonstigen Vorgaben mit Auswirkungen auf das Informationssicherheitsmanagement identifiziert und dokumentiert werden müssen. ORP.5.A4 ergänzt dies, indem ein Prozess zur Identifikation relevanter gesetzlicher, vertraglicher und sonstiger Vorgaben aufgebaut und der Überblick über rechtliche Anforderungen organisiert werden soll. Beide Anforderungen beziehen sich jedoch primär auf rechtliche, vertragliche und compliance-bezogene Rahmenbedingungen. Die GS++-Anforderung verlangt darüber hinaus ausdrücklich die Analyse und Priorisierung weiterer externer Kontextfaktoren wie gesellschaftliche/kulturelle, technologische, wirtschaftliche sowie ökologische/physische Umweltbedingungen, was durch die Kandidaten nicht vollständig abgedeckt wird.","[gpt-5.4-mini] Nicht abgedeckt sind insbesondere die systematische Erfassung, Integration und Priorisierung nicht-rechtlicher externer Faktoren (gesellschaftliche und kulturelle Erwartungen, technologische Entwicklungen, wirtschaftliche Marktbedingungen sowie ökologische und physische Umweltbedingungen).",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4-thinking,2026-04-22T11:35:51
GC.2.1,Festlegung des externen Kontextes der Institution,normal-SdT,teilweise,0.46,ORP.5.A4,Konzeption und Organisation des Compliance Managements,ORP.5 Compliance Management (Anforderungsmanagement),Standard,"Gemittelte Kandidatenscores: ORP.5.A1=0.46, ORP.5.A4=0.46
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.9100 gs_ids=ORP.5.A1;ORP.5.A4
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ORP.5.A1 deckt den Kern der Anforderung ab, weil dort alle gesetzlichen, vertraglichen und sonstigen Vorgaben mit Auswirkungen auf das Informationssicherheitsmanagement identifiziert und dokumentiert werden müssen. ORP.5.A4 ergänzt dies, indem ein Prozess zur Identifikation relevanter gesetzlicher, vertraglicher und sonstiger Vorgaben aufgebaut und der Überblick über rechtliche Anforderungen organisiert werden soll. Beide Anforderungen beziehen sich jedoch primär auf rechtliche, vertragliche und compliance-bezogene Rahmenbedingungen. Die GS++-Anforderung verlangt darüber hinaus ausdrücklich die Analyse und Priorisierung weiterer externer Kontextfaktoren wie gesellschaftliche/kulturelle, technologische, wirtschaftliche sowie ökologische/physische Umweltbedingungen, was durch die Kandidaten nicht vollständig abgedeckt wird.","[gpt-5.4-mini] Nicht abgedeckt sind insbesondere die systematische Erfassung, Integration und Priorisierung nicht-rechtlicher externer Faktoren (gesellschaftliche und kulturelle Erwartungen, technologische Entwicklungen, wirtschaftliche Marktbedingungen sowie ökologische und physische Umweltbedingungen).",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4-thinking,2026-04-22T11:35:51
GC.7.1,Verfahren und Regelungen,normal-SdT,teilweise,0.47,ORP.5.A1,Identifikation der Rahmenbedingungen,ORP.5 Compliance Management (Anforderungsmanagement),Basis,"Gemittelte Kandidatenscores: ORP.5.A1=0.47, ORP.5.A2=0.47, ORP.5.A4=0.47
Model-Entscheidungen:
[gpt-5.4-mini] coverage=voll confidence=0.9300 gs_ids=ORP.5.A4;ORP.5.A1;ORP.5.A2
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ORP.5.A1 deckt die Pflicht ab, alle für das Informationssicherheitsmanagement relevanten gesetzlichen, vertraglichen und sonstigen Vorgaben zu identifizieren und zu dokumentieren. ORP.5.A4 ergänzt dies um den Aufbau eines Prozesses zur Identifikation relevanter Vorgaben sowie geeigneter Prozesse und Organisationsstrukturen, um den Überblick über die rechtlichen Anforderungen zu gewährleisten und Sicherheitsanforderungen zu integrieren. ORP.5.A2 ergänzt die operative Beachtung der identifizierten Anforderungen in Planung, Konzeption und Beschaffung sowie die Festlegung von Verantwortlichkeiten und Maßnahmen zur Vermeidung von Verstößen. Zusammen bilden diese Anforderungen inhaltlich das geforderte Verfahren zur Sammlung, Integration und Priorisierung aller für das Informationssicherheitsmanagement relevanten Rahmenbedingungen ab.",,keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4-thinking,2026-04-22T11:35:51
GC.7.1,Verfahren und Regelungen,normal-SdT,teilweise,0.47,ORP.5.A2,Beachtung der Rahmenbedingungen,ORP.5 Compliance Management (Anforderungsmanagement),Basis,"Gemittelte Kandidatenscores: ORP.5.A1=0.47, ORP.5.A2=0.47, ORP.5.A4=0.47
Model-Entscheidungen:
[gpt-5.4-mini] coverage=voll confidence=0.9300 gs_ids=ORP.5.A4;ORP.5.A1;ORP.5.A2
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ORP.5.A1 deckt die Pflicht ab, alle für das Informationssicherheitsmanagement relevanten gesetzlichen, vertraglichen und sonstigen Vorgaben zu identifizieren und zu dokumentieren. ORP.5.A4 ergänzt dies um den Aufbau eines Prozesses zur Identifikation relevanter Vorgaben sowie geeigneter Prozesse und Organisationsstrukturen, um den Überblick über die rechtlichen Anforderungen zu gewährleisten und Sicherheitsanforderungen zu integrieren. ORP.5.A2 ergänzt die operative Beachtung der identifizierten Anforderungen in Planung, Konzeption und Beschaffung sowie die Festlegung von Verantwortlichkeiten und Maßnahmen zur Vermeidung von Verstößen. Zusammen bilden diese Anforderungen inhaltlich das geforderte Verfahren zur Sammlung, Integration und Priorisierung aller für das Informationssicherheitsmanagement relevanten Rahmenbedingungen ab.",,keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4-thinking,2026-04-22T11:35:51
GC.7.1,Verfahren und Regelungen,normal-SdT,teilweise,0.47,ORP.5.A4,Konzeption und Organisation des Compliance Managements,ORP.5 Compliance Management (Anforderungsmanagement),Standard,"Gemittelte Kandidatenscores: ORP.5.A1=0.47, ORP.5.A2=0.47, ORP.5.A4=0.47
Model-Entscheidungen:
[gpt-5.4-mini] coverage=voll confidence=0.9300 gs_ids=ORP.5.A4;ORP.5.A1;ORP.5.A2
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ORP.5.A1 deckt die Pflicht ab, alle für das Informationssicherheitsmanagement relevanten gesetzlichen, vertraglichen und sonstigen Vorgaben zu identifizieren und zu dokumentieren. ORP.5.A4 ergänzt dies um den Aufbau eines Prozesses zur Identifikation relevanter Vorgaben sowie geeigneter Prozesse und Organisationsstrukturen, um den Überblick über die rechtlichen Anforderungen zu gewährleisten und Sicherheitsanforderungen zu integrieren. ORP.5.A2 ergänzt die operative Beachtung der identifizierten Anforderungen in Planung, Konzeption und Beschaffung sowie die Festlegung von Verantwortlichkeiten und Maßnahmen zur Vermeidung von Verstößen. Zusammen bilden diese Anforderungen inhaltlich das geforderte Verfahren zur Sammlung, Integration und Priorisierung aller für das Informationssicherheitsmanagement relevanten Rahmenbedingungen ab.",,keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4-thinking,2026-04-22T11:35:51
GC.6.1.4,Freigabe der Sicherheitsleitlinie,normal-SdT,teilweise,0.48,ISMS.1.A3,Erstellung einer Leitlinie zur Informationssicherheit,ISMS.1 Sicherheitsmanagement,Basis,"Gemittelte Kandidatenscores: ISMS.1.A3=0.48
Model-Entscheidungen:
[gpt-5.4-mini] coverage=voll confidence=0.9700 gs_ids=ISMS.1.A3
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ISMS.1.A3 deckt die Anforderung direkt ab: Dort muss die Institutionsleitung eine übergeordnete Leitlinie zur Informationssicherheit verabschieden. Die GS++-Anforderung GC.6.1.4 verlangt ebenfalls, dass die festgelegte Sicherheitsleitlinie durch die Institutionsleitung autorisiert wird. Inhaltlich ist das dieselbe Freigabe-/Verabschiedungsfunktion durch die Leitung.",,keep,Deckt den Kernaspekt der GS++-Anforderung direkt ab: Die Institutionsleitung muss die Sicherheitsleitlinie freigeben/verabschieden. Die in ISMS.1.A3 geforderte Verabschiedung der Leitlinie durch die Institutionsleitung entspricht der geforderten Autorisierung. Kein anderer Kandidat im Set ist vorhanden; daher notwendig.,gpt-5.4-mini+manual:gspp_compliance_v3approach,gpt-5.4-thinking,2026-04-22T11:35:51
