gspp_id,gspp_title,gspp_level,coverage,confidence,gs_id,gs_title,gs_baustein,gs_level,rationale,gap_notes,decision,discriminator_reasoning,original_model,discriminator_model,timestamp
GC.1.1,Errichtung und Aufrechterhaltung eines ISMS,normal-SdT,voll,1.00,GC.1.1,Errichtung und Aufrechterhaltung eines ISMS,,normal-SdT,"Die Grundschutz++-Anforderung GC.1.1 ist eine exakte Kopie der klassischen IT-Grundschutz-Anforderung GC.1.1. Da die GS++-Anforderung wortgleich die Errichtung und Aufrechterhaltung eines ISMS sowie die Verankerung von Verfahren und Regelungen fordert, deckt die Kandidaten-ID GC.1.1 diesen Anspruch zu 100% inhaltlich, strukturell und regulatorisch ab.",,keep,"Diese Anforderung bildet den vollständigen Kern der GS++-Anforderung ab: Sie fordert die Errichtung und Aufrechterhaltung eines ISMS sowie die Verankerung von Verfahren und Regelungen. Im Set gibt es keinen anderen Kandidaten, der diese Aspekte umfassend abdeckt; daher ist sie notwendig.",google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:12:50
GC.2.1,Festlegung des externen Kontextes der Institution,normal-SdT,voll,1.00,GC.2.1,Festlegung des externen Kontextes der Institution,,normal-SdT,"Die Grundschutz++-Anforderung GC.2.1 ist in diesem spezifischen Fall eine exakte Kopie (identischer Text, Statement und Guidance) der klassischen IT-Grundschutz-Anforderung [1] GC.2.1. Da die GS++-Anforderung keine zusätzliche Tiefe oder neue Aspekte gegenüber der IT-Grundschutz-Anforderung GC.2.1 aufweist, bietet die GS-Anforderung eine vollständige Abdeckung aller geforderten Aspekte (Sammlung, Integration und Priorisierung externer Rahmenbedingungen inkl. gesellschaftlicher, rechtlicher, technologischer, wirtschaftlicher und ökologischer Faktoren).",,keep,"Einziger Kandidat und exakte Entsprechung der GS++-Anforderung. Deckt alle Kernaspekte ab: Verfahren zur Sammlung, Integration und Priorisierung externer Rahmenbedingungen sowie die relevanten externen Faktoren (rechtlich/regulatorisch, technologisch, wirtschaftlich, gesellschaftlich/kulturell, ökologisch/physisch). Ohne diese Anforderung geht kein Kernaspekt verloren.",google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:12:50
GC.2.2,Festlegung des internen Kontextes der Institution,normal-SdT,voll,1.00,GC.2.2,Festlegung des internen Kontextes der Institution,,normal-SdT,"Die Grundschutz++-Anforderung GC.2.2 ist inhaltlich identisch mit der im IT-Grundschutz-Kompendium gelisteten Anforderung [1] GC.2.2. Sowohl das Statement als auch die Guidance decken exakt dieselben Aspekte ab: Das Verfahren zur Sammlung, Integration und Priorisierung interner Rahmenbedingungen sowie die systematische Analyse interner Faktoren (Strategien, Werte, Struktur, Prozesse, IT-Infrastruktur und Kultur). Da die Anforderung im Kompendium als 1:1-Entsprechung existiert, ist die Abdeckung vollständig.",,keep,"Notwendig: Die Anforderung ist 1:1 identisch zur GS++-Anforderung und deckt vollständig den Kernaspekt ab, nämlich das Verfahren zur Sammlung, Integration und Priorisierung interner Kontextfaktoren (Strategien, Struktur, Prozesse, IT-Infrastruktur, Kultur). Es gibt keinen redundanten Ersatz im Set.",google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:12:50
GC.3.1,Analyse der externen interessierten Parteien,normal-SdT,voll,1.00,GC.3.1,Analyse der externen interessierten Parteien,,normal-SdT,"Die Grundschutz++-Anforderung GC.3.1 ist inhaltlich identisch mit der Kandidaten-Anforderung GC.3.1 aus dem IT-Grundschutz-Kompendium. Beide fordern das Verankern eines Verfahrens zur Ermittlung externer interessierter Parteien sowie die Bewertung ihrer Anforderungen (Gesetzgeber, Kunden, etc.) für das ISMS. Da die GS++-Anforderung eine exakte Kopie der vorliegenden GS-Anforderung ist, ist die Abdeckung als 'voll' zu bewerten.",,keep,"Notwendig, da die Anforderung alle Kernaspekte der GS++-Vorgabe direkt abdeckt: Verfahren zur Ermittlung externer interessierter Parteien, Ermittlung ihrer Bedürfnisse und Erwartungen sowie Bewertung/Priorisierung und Festlegung verbindlicher Verpflichtungen für das ISMS. Es gibt keinen anderen Kandidaten im Set, der diese Aspekte abdeckt.",google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:12:50
GC.3.2,Analyse der internen interessierten Parteien,normal-SdT,voll,1.00,GC.3.2,Analyse der internen interessierten Parteien,,normal-SdT,"Die Grundschutz++-Anforderung GC.3.2 ist in der bereitgestellten Kandidatenliste [1] mit der identischen ID 'GC.3.2' enthalten. Da der Text, das Statement und die Guidance exakt übereinstimmen, ist eine vollständige inhaltliche Abdeckung gegeben.",keine,keep,"Notwendig, da diese Anforderung den vollständigen Kernaspekt der GS++-Anforderung direkt abdeckt: ein Verfahren zum Ermitteln aller internen interessierten Parteien sowie ihrer Bedürfnisse und Erwartungen an das Informationssicherheitsmanagement. Es gibt keinen anderen Kandidaten im Set, der diesen Aspekt abdeckt.",google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:12:50
GC.4.1,Festlegung des Geltungsbereichs,normal-SdT,voll,1.00,GC.4.1,Festlegung des Geltungsbereichs,,normal-SdT,"Die Grundschutz++-Anforderung GC.4.1 ist inhaltlich identisch mit der klassischen IT-Grundschutz-Anforderung [1] GC.4.1. Beide fordern die Festlegung und Dokumentation des Geltungsbereichs (Scope) des ISMS inklusive der Abgrenzung von Organisationsbereichen, Geschäftsprozessen, Standorten, Systemen und externen Partnern sowie die formale Freigabe durch die Institutionsleitung.",,keep,"Deckt die vollständige GS++-Anforderung ab: Festlegung und dokumentierte Abgrenzung des ISMS-Geltungsbereichs sowie Freigabe durch die Institutionsleitung. Im aktuellen Set gibt es keine alternative Anforderung, daher ist sie notwendig.",google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:12:50
GC.5.1,Vorgehen bei der Infomationssicherheitseinstufung,normal-SdT,voll,1.00,GC.5.1.1,Festlegung der Geschäftsprozesse,,normal-SdT,"Die GS++-Anforderung GC.5.1 fordert die Verankerung eines Verfahrens zur Festlegung von Geschäftsprozessen und der Einstufung des Schutzbedarfs (normal/hoch). Dies wird durch die Kandidaten vollumfänglich abgedeckt: GC.5.1.1 adressiert die notwendige Festlegung der relevanten Geschäftsprozesse, und GC.5.1.2 konkretisiert das Verfahren zur eigentlichen Schutzbedarfsfeststellung (einschließlich der Unterscheidung zwischen 'normal' und 'hoch' sowie der Einbindung der Institutionsleitung). Zusammen bilden sie den im GS++-Statement geforderten Prozess ab.",keine,keep,Keine Entscheidung erhalten - als notwendig betrachtet,google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:12:50
GC.5.1,Vorgehen bei der Infomationssicherheitseinstufung,normal-SdT,voll,1.00,GC.5.1.2,Festlegung des Schutzbedarfs,,normal-SdT,"Die GS++-Anforderung GC.5.1 fordert die Verankerung eines Verfahrens zur Festlegung von Geschäftsprozessen und der Einstufung des Schutzbedarfs (normal/hoch). Dies wird durch die Kandidaten vollumfänglich abgedeckt: GC.5.1.1 adressiert die notwendige Festlegung der relevanten Geschäftsprozesse, und GC.5.1.2 konkretisiert das Verfahren zur eigentlichen Schutzbedarfsfeststellung (einschließlich der Unterscheidung zwischen 'normal' und 'hoch' sowie der Einbindung der Institutionsleitung). Zusammen bilden sie den im GS++-Statement geforderten Prozess ab.",keine,keep,Keine Entscheidung erhalten - als notwendig betrachtet,google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:12:50
GC.5.1.1,Festlegung der Geschäftsprozesse,normal-SdT,voll,1.00,GC.5.1.1,Festlegung der Geschäftsprozesse,,normal-SdT,"Die Grundschutz++-Anforderung GC.5.1.1 ('Festlegung der Geschäftsprozesse') ist inhaltlich identisch mit der IT-Grundschutz-Anforderung [1] GC.5.1.1. Zudem wird die Anforderung durch [2] GC.5.1 ('Vorgehen bei der Informationssicherheitseinstufung') ergänzt/abgedeckt, da diese die Verankerung des Verfahrens zur Festlegung von Geschäftsprozessen als integralen Bestandteil des Einstufungsprozesses explizit fordert. Damit sind sowohl die Festlegung als auch die prozessuale Verankerung vollständig abgedeckt.",,keep,"Direkte, spezifische Entsprechung der GS++-Anforderung: Sie fordert explizit die Festlegung der für den Geltungsbereich relevanten Geschäftsprozesse. Ohne diese Anforderung ginge der Kernaspekt 'Festlegung der Geschäftsprozesse' verloren.",google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:12:50
GC.5.1.1,Festlegung der Geschäftsprozesse,normal-SdT,voll,1.00,GC.5.1,Vorgehen bei der Infomationssicherheitseinstufung,,normal-SdT,"Die Grundschutz++-Anforderung GC.5.1.1 ('Festlegung der Geschäftsprozesse') ist inhaltlich identisch mit der IT-Grundschutz-Anforderung [1] GC.5.1.1. Zudem wird die Anforderung durch [2] GC.5.1 ('Vorgehen bei der Informationssicherheitseinstufung') ergänzt/abgedeckt, da diese die Verankerung des Verfahrens zur Festlegung von Geschäftsprozessen als integralen Bestandteil des Einstufungsprozesses explizit fordert. Damit sind sowohl die Festlegung als auch die prozessuale Verankerung vollständig abgedeckt.",,remove,Redundant für diese GS++-Anforderung: Der Aspekt 'Festlegung der Geschäftsprozesse' wird bereits vollständig durch GC.5.1.1 abgedeckt. Der zusätzliche Teilaspekt zur Einstufung des Schutzbedarfs von Geschäftsprozessen und Informationen ist für die Beschreibung von GC.5.1.1 nicht erforderlich.,google/gemma-4-26b-a4b-it,gpt-5.4-thinking,2026-04-22T15:12:50
