gspp_id,gspp_title,gspp_level,coverage,confidence,gs_ids,gs_titles,rationale,gap_notes,model,timestamp
GC.1.1,Errichtung und Aufrechterhaltung eines ISMS,normal-SdT,teilweise,0.88,IND.1.A1,IND.1.A1: Einbindung in die Sicherheitsorganisation,"IND.1.A1 deckt den Kernaspekt der Errichtung eines ISMS ab, da es ausdrücklich fordert, dass für den OT-Betrieb ein ISMS als eigenständiges oder integriertes Managementsystem existieren MUSS. Damit ist die Existenz bzw. Etablierung eines ISMS inhaltlich getroffen. Die Grundschutz++-Anforderung verlangt jedoch zusätzlich die Verankerung von Verfahren und Regelungen zur Aufrechterhaltung des ISMS sowie die kontinuierliche Überprüfung und das Einleiten von Gegenmaßnahmen. Diese Aspekte werden durch IND.1.A1 nicht beschrieben.","Nicht abgedeckt sind die Anforderungen an die Aufrechterhaltung des ISMS: kontinuierliche Überprüfung der Einhaltung, Ableitung und Umsetzung von Gegenmaßnahmen sowie der Hinweis, dass die komplette Vorgehensweise mindestens einmal vollständig durchlaufen wurde. Auch die Verankerung konkreter Verfahren und Regelungen ist dort nicht ausgeführt.",gpt-5.4-mini,2026-04-21T09:50:43
GC.2.1,Festlegung des externen Kontextes der Institution,normal-SdT,teilweise,0.86,ORP.5.A1; ORP.5.A4; ISMS.1.A2; INF.12.A1,ORP.5.A1: Identifikation der Rahmenbedingungen; ORP.5.A4: Konzeption und Organisation des Compliance Managements; ISMS.1.A2: Festlegung der Sicherheitsziele und -strategie; INF.12.A1: Auswahl geeigneter Kabeltypen,"Die Anforderung verlangt ein Verfahren zur Sammlung, Integration und Priorisierung externer Rahmenbedingungen für das ISMS. ORP.5.A1 und ORP.5.A4 decken die Identifikation und Integration relevanter gesetzlicher, vertraglicher und sonstiger Vorgaben ab. ISMS.1.A2 adressiert die Festlegung und regelmäßige Überprüfung der Sicherheitsziele und -strategie auf Basis organisatorischer Rahmenbedingungen, was den Kontextbezug teilweise trifft. INF.12.A1 enthält die Berücksichtigung von Umgebungsbedingungen, jedoch nur für Kabeltypen und damit nur einen sehr engen Teilaspekt externer physischer Umweltbedingungen. Eine echte Abdeckung der geforderten systematischen Erfassung aller externen Faktoren einschließlich gesellschaftlicher, kultureller, technologischer, wirtschaftlicher sowie ökologischer und physischer Rahmenbedingungen findet sich in keinem Kandidaten vollständig.","Nicht abgedeckt sind insbesondere die explizite systematische Erfassung und Priorisierung aller externen Kontextfaktoren über rechtliche/vertragliche Vorgaben hinaus, also gesellschaftliche und kulturelle Faktoren, technologische Entwicklungen, wirtschaftliche Marktbedingungen sowie ökologische und physische Umweltbedingungen als allgemeiner ISMS-Kontext. Die Kandidaten fokussieren überwiegend auf Compliance, Strategie oder sehr spezifische Einzelfälle.",gpt-5.4-mini,2026-04-21T09:50:43
GC.2.2,Festlegung des internen Kontextes der Institution,normal-SdT,teilweise,0.92,ISMS.1.A2,ISMS.1.A2: Festlegung der Sicherheitsziele und -strategie,"ISMS.1.A2 deckt den Kern der Anforderung ab, weil dort die Institutionsleitung Sicherheitsziele und eine Informationssicherheitsstrategie festlegen sowie konzeptionelle und organisatorische Rahmenbedingungen schaffen muss. Das entspricht dem geforderten Verfahren zur Festlegung des Kontexts auf oberster Ebene. Die GS++-Anforderung geht jedoch weiter und verlangt explizit ein Verfahren zur systematischen Sammlung, Integration und Priorisierung interner Rahmenbedingungen (z. B. Werte, Struktur, Prozesse, Infrastruktur, Kultur). Diese Kontextanalyse wird in ISMS.1.A2 nicht in dieser Tiefe gefordert.","Es fehlt die explizite Anforderung, interne Kontextfaktoren systematisch zu erfassen, zu integrieren und zu priorisieren. Insbesondere werden Werte/Kultur, Organisationsstruktur, Prozesse/Arbeitsabläufe und IT-Infrastruktur als zu analysierende Kontextbestandteile nicht ausdrücklich benannt.",gpt-5.4-mini,2026-04-21T09:50:43
GC.3.1,Analyse der externen interessierten Parteien,normal-SdT,teilweise,0.93,ORP.5.A4,ORP.5.A4: Konzeption und Organisation des Compliance Managements,"ORP.5.A4 deckt den Kern der Anforderung ab, da dort ein Prozess zur Identifikation aller relevanten gesetzlichen, vertraglichen und sonstigen Vorgaben mit Auswirkungen auf das Informationssicherheitsmanagement gefordert wird. Das entspricht inhaltlich der Ermittlung externer interessierter Parteien bzw. deren Anforderungen zumindest insoweit, als deren Vorgaben als Compliance-Anforderungen erfasst werden. Die spezielle Forderung nach einem Verfahren zur Ermittlung aller externen interessierten Parteien samt ihrer Bedürfnisse und Erwartungen sowie deren Priorisierung und Überführung in verbindliche ISMS-Verpflichtungen wird jedoch nicht vollständig beschrieben.","Es fehlt die explizite Identifikation aller externen interessierten Parteien selbst (z. B. Kunden, Öffentlichkeit, Dienstleister) sowie die systematische Bewertung von Relevanz und Priorität ihrer Bedürfnisse/Erwartungen und die ausdrückliche Festlegung, welche Anforderungen als verbindliche Verpflichtungen ins ISMS aufgenommen werden.",gpt-5.4-mini,2026-04-21T09:50:43
GC.3.2,Analyse der internen interessierten Parteien,normal-SdT,keine,0.94,,,"Keine der Kandidatenanforderungen fordert ein Verfahren zum Ermitteln aller internen interessierten Parteien und ihrer Bedürfnisse und Erwartungen an das Informationssicherheitsmanagement. Die genannten Anforderungen behandeln Compliance-Management, rechtliche Rahmenbedingungen, Incident-Kommunikation, Admin-Berechtigungen, Outsourcing oder technische Sicherheitsmaßnahmen, aber nicht die systematische Identifikation interner Stakeholder und deren Erwartungen.","Es fehlt eine explizite Anforderung zur Ermittlung interner interessierter Parteien (z. B. Geschäftsführung, Mitarbeitende, Führungskräfte, Betriebs-/Personalrat) sowie zur Erfassung ihrer Bedürfnisse und Erwartungen an das ISMS.",gpt-5.4-mini,2026-04-21T09:50:43
GC.4.1,Festlegung des Geltungsbereichs,normal-SdT,teilweise,0.93,ISMS.1.A3,ISMS.1.A3: Erstellung einer Leitlinie zur Informationssicherheit,"ISMS.1.A3 deckt die Kernaussage ab, dass für die Informationssicherheits-Leitlinie ein klarer Geltungsbereich festgelegt sein muss und diese von der Institutionsleitung verabschiedet wird. Damit ist die formale Scope-Festlegung der Grundschutz++-Anforderung inhaltlich getroffen. Die Anforderungen zu nachvollziehbarer Abgrenzung des gesamten ISMS-Scope nach Freigabe der Institutionsleitung sind jedoch nur teilweise beschrieben.","Nicht ausdrücklich abgedeckt sind die geforderte nachvollziehbare Abgrenzung des gesamten ISMS-Geltungsbereichs im Sinne einer detaillierten Scope-Definition (inkl. expliziter Einbeziehung/Ausschluss von Bereichen), die formale Festlegung nach Freigabe der Institutionsleitung für den ISMS-Scope sowie die konkrete Abgrenzung von Standorten, Systemen und externen Partnern/Dienstleistern.",gpt-5.4-mini,2026-04-21T09:50:43
GC.5.1,Vorgehen bei der Infomationssicherheitseinstufung,normal-SdT,teilweise,0.83,ORP.5.A2; ORP.5.A4,ORP.5.A2: Beachtung der Rahmenbedingungen; ORP.5.A4: Konzeption und Organisation des Compliance Managements,"Die GS++-Anforderung verlangt ein Verfahren zur Festlegung von Geschäftsprozessen und zur Einstufung des Schutzbedarfs der dabei verarbeiteten Informationen. ORP.5.A2 deckt inhaltlich ab, dass sicherheitsrelevante Anforderungen bei der Planung und Konzeption von Geschäftsprozessen einfließen müssen. ORP.5.A4 adressiert den Aufbau von Prozessen zur Identifikation relevanter Vorgaben und zur Überführung sicherheitsrelevanter Anforderungen in Sicherheitsmaßnahmen. Beide zusammen treffen den Governance-/Prozessaspekt, aber nicht die explizite, systematische Schutzbedarfseinstufung von Geschäftsprozessen und Informationen.",Es fehlt die explizite Vorgabe eines förmlichen Verfahrens zur Schutzbedarfsermittlung/-einstufung für Geschäftsprozesse und die darin verarbeiteten Informationen sowie die klare Unterscheidung normal/hoch im prozessorientierten Ansatz.,gpt-5.4-mini,2026-04-21T09:50:43
GC.5.1.1,Festlegung der Geschäftsprozesse,normal-SdT,teilweise,0.89,OPS.1.1.1.A12,OPS.1.1.1.A12: Spezifikation und Umsetzung klarer Betriebsprozesse,"Die GS++-Anforderung verlangt, dass die für den Geltungsbereich relevanten Geschäftsprozesse festgelegt werden. OPS.1.1.1.A12 fordert, für alle Aufgaben Betriebsprozesse zu spezifizieren, inklusive Tätigkeiten, Abhängigkeiten, Initiierung, Umsetzung und Schnittstellen. Das ist die einzige Kandidatenanforderung, die inhaltlich die Festlegung von Prozessen im organisatorischen Sinne adressiert. Eine vollständige Abdeckung liegt jedoch nicht vor, da GS++ explizit die Festlegung relevanter Geschäftsprozesse im Rahmen der Informationssicherheitseinstufung fordert, nicht nur die Spezifikation von Betriebsprozessen.",Es fehlt die explizite Bezugnahme auf die Geschäftsprozesse des Geltungsbereichs bzw. auf den Schritt der Informationssicherheitseinstufung. OPS.1.1.1.A12 behandelt allgemein Betriebsprozesse des IT-Betriebs und nicht die Auswahl/Festlegung relevanter Geschäftsprozesse anhand eines Informationssicherheits-Kontexts.,gpt-5.4-mini,2026-04-21T09:50:43
GC.5.1.2,Festlegung des Schutzbedarfs,normal-SdT,teilweise,0.92,ISMS.1.A2; ORP.5.A4; SYS.3.2.2.A1,ISMS.1.A2: Festlegung der Sicherheitsziele und -strategie; ORP.5.A4: Konzeption und Organisation des Compliance Managements; SYS.3.2.2.A1: Festlegung einer Strategie für das Mobile Device Management,"Die Anforderung fordert die Festlegung des Schutzbedarfs relevanter Geschäftsprozesse und Informationsarten unter Berücksichtigung der Geschäftsziele und in Abstimmung mit der Institutionsleitung. ISMS.1.A2 deckt die Rolle der Institutionsleitung bei der Festlegung von Sicherheitszielen/-strategie und den organisatorischen Rahmen für den sicheren Umgang mit Informationen über alle Geschäftsprozesse ab. ORP.5.A4 ergänzt die Identifikation und Verarbeitung rechtlicher/sonstiger Vorgaben, die bei der Einstufung mitgedacht werden müssen. SYS.3.2.2.A1 enthält ausdrücklich die Grundsatzlogik, dass Strategien auf Basis des Schutzbedarfs der zu verarbeitenden Informationen festgelegt werden. Zusammen treffen die Kandidaten wesentliche Teile des Zielbilds, aber keine regelt die eigentliche Schutzbedarfsfeststellung mit den konkreten Einstufungsstufen 'normal'/'hoch', die Priorisierung des wichtigsten Geschäftsprozesses oder die explizite Entscheidung durch die Institutionsleitung zur Schutzbedarfseinstufung.","Es fehlt die konkrete Anforderung, den Schutzbedarf selbst systematisch für Geschäftsprozesse und Informationsarten festzulegen, einschließlich der Einstufung in 'normal' und 'hoch', der Priorisierung des wichtigsten Geschäftsprozesses sowie der expliziten Ableitung aus existenzbedrohenden Schäden bzw. besonders vertraulichen Informationen.",gpt-5.4-mini,2026-04-21T09:50:43
GC.5.1.3,Geschäftsprozesse mit hohem Schutzbedarf,normal-SdT,teilweise,0.91,APP.2.2.A5,APP.2.2.A5: Absicherung des Domänencontrollers,"Einziger echter inhaltlicher Treffer ist APP.2.2.A5, da dort ausdrücklich eine Risikobetrachtung wegen der zentralen Rolle und Schadensauswirkung gefordert wird. Das trifft den Kern der geforderten dedizierten Risikobetrachtung für einen besonders schutzbedürftigen Bereich. Die übrigen Kandidaten behandeln allgemeines Compliance-, Organisations- oder Sicherheitsmanagement, aber nicht die spezifische risikobasierte Betrachtung von Geschäftsprozessen oder Informationsarten mit hohem Schutzbedarf als eigenständige Anforderung.","Abgedeckt ist nur die allgemeine Forderung nach einer Risikobetrachtung. Es fehlt die explizite Ausrichtung auf Geschäftsprozesse oder Informationsarten mit hohem Schutzbedarf sowie die Vorgabe, diese Risikobetrachtung dediziert und in einem separaten Dokument mit verbindlicher Risikomethodik zu dokumentieren.",gpt-5.4-mini,2026-04-21T09:50:43
