gspp_id,gspp_title,gspp_level,coverage,confidence,gs_ids,gs_titles,rationale,gap_notes,model,timestamp
GC.1.1,Errichtung und Aufrechterhaltung eines ISMS,normal-SdT,teilweise,0.90,IND.1.A1; ORP.5.A4; DER.3.1.A5,IND.1.A1: Einbindung in die Sicherheitsorganisation; ORP.5.A4: Konzeption und Organisation des Compliance Managements; DER.3.1.A5: Integration in den Informationssicherheitsprozess,"Die betrachteten Anforderungen aus IT-Grundschutz umfassen Aspekte wie die Einbindung ins ISMS (IND.1.A1), die Organisation des Compliance Managements im Bezug auf ISMS (ORP.5.A4) und die kontinuierliche Verbesserung durch Audits und Maßnahmensteuerung (DER.3.1.A5). Diese decken relevante Teile der Erstellung und Aufrechterhaltung eines ISMS wie in GC.1.1 beschrieben ab, jedoch nicht die vollständigen Verfahrens- und Regelungsaspekte des ISMS-Lebenszyklus.",Es fehlen detaillierte Anforderungen an die vollständige Umsetzung aller ISMS Prozessen sowie deren Verankerung und Standardkonformität.,gpt-4o-2024-11-20,2026-04-20T22:33:48
GC.2.1,Festlegung des externen Kontextes der Institution,normal-SdT,teilweise,0.80,ORP.5.A1,ORP.5.A1: Identifikation der Rahmenbedingungen,"Die Anforderung ORP.5.A1 befasst sich gezielt mit der Identifikation und Dokumentation gesetzlicher, vertraglicher und sonstiger Rahmenbedingungen mit Auswirkungen auf das Informationssicherheitsmanagement. Dies entspricht einem Teilaspekt der GS++-Anforderung GC.2.1, welche darüber hinaus auch spezifische Untersuchungen zu gesellschaftlichen, technologischen und ökologischen Rahmenbedingungen fordert.","Die GS++-Anforderung umfasst zusätzlich die Analyse gesellschaftlicher, kultureller, technischer und ökologischer Kontextfaktoren, die in ORP.5.A1 nicht berücksichtigt werden. Dies führt zu nur teilweiser Deckung der Anforderungen hierdurch (z.B. sozio-technische Analysen fehlen).",gpt-4o-2024-11-20,2026-04-20T22:33:48
GC.2.2,Festlegung des internen Kontextes der Institution,normal-SdT,teilweise,0.75,11,,"Die GS++-Anforderung GC.2.2 fordert eine systematische Analyse und Dokumentation interner Faktoren, die die Informationssicherheitsstrategie beeinflussen. Diese Aspekte werden teilweise in ISMS.1.A2 berücksichtigt, die die Festlegung von Sicherheitszielen und Strategien durch die Institutionsleitung sowie die Schaffung organisatorischer Rahmenbedingungen beschreibt. Jedoch geht GC.2.2 detaillierter auf spezifische institutionelle Faktoren wie Kultur und interne Prozesse ein, die in ISMS.1.A2 nicht explizit behandelt werden.","Die GS++-Anforderung behandelt Aspekte wie die Institutionskultur, spezifische Organisationsstrukturen und interne Prozesse, die in der Grundschutz-Anforderung ISMS.1.A2 nicht detailliert berücksichtigt werden. Daher bleibt der systematische Charakter der Kontextfestlegung teilweise ungedeckt.",gpt-4o-2024-11-20,2026-04-20T22:33:48
GC.3.1,Analyse der externen interessierten Parteien,normal-SdT,teilweise,0.80,ORP.5.A4; ORP.5.A2,ORP.5.A4: Konzeption und Organisation des Compliance Managements; ORP.5.A2: Beachtung der Rahmenbedingungen,"Beide identifizierten Anforderungen behandeln Aspekte des Compliance Managements und Rahmenbedingungen, die sich auf externe Anforderungen beziehen. Dennoch decken sie nicht die systematische Erfassung und Bewertung aller externen interessierten Parteien gemäß der GS++-Anforderung vollständig ab.",Es fehlt die explizite Vorgabe zur Identifikation und Bewertung der Bedürfnisse und Erwartungen interessierter externer Parteien (über rechtliche und vertragliche Anforderungen hinaus).,gpt-4o-2024-11-20,2026-04-20T22:33:48
GC.3.2,Analyse der internen interessierten Parteien,normal-SdT,keine,0.90,,,"Keine der betrachteten Anforderungen aus dem IT-Grundschutz adressiert explizit und umfassend das Verfahren zur Ermittlung interner interessierter Parteien, wie es in der GS++-Anforderung GC.3.2 beschrieben ist. Die vorliegenden Anforderungen aus dem Grundschutz fokussieren sich mehr auf Prozesse und Managementstrukturen ohne konkret diesen Aspekt abzudecken.",Die spezifischen Vorgaben zur Identifikation und Berücksichtigung interner interessierter Parteien sowie ihrer Bedürfnisse und Erwartungen fehlen in den Kandidaten.,gpt-4o-2024-11-20,2026-04-20T22:33:48
GC.4.1,Festlegung des Geltungsbereichs,normal-SdT,teilweise,0.90,ISMS.1.A3,ISMS.1.A3: Erstellung einer Leitlinie zur Informationssicherheit,"Die Anforderung ISMS.1.A3 behandelt Aspekte der Festlegung eines Geltungsbereichs innerhalb einer Sicherheitsleitlinie, jedoch nicht in der Detailtiefe und umfassenden Spezifikation wie GC.4.1.","Während ISMS.1.A3 die Festlegung eines Geltungsbereichs für die Sicherheitsleitlinie anfordert, behandelt sie nicht die umfassende spezifizierte Definition eines ISMS-Bereichs inklusive Geschäftsfelder und Partnerintegration, wie von GC.4.1 gefordert.",gpt-4o-2024-11-20,2026-04-20T22:33:48
GC.5.1,Vorgehen bei der Infomationssicherheitseinstufung,normal-SdT,keine,0.90,,,Die GS++-Anforderung GC.5.1 fordert ein umfassendes Verfahren zur Einstufung von Geschäftsprozessen anhand ihres Schutzbedarfs auf prozessorientierte Weise. Keine der aufgeführten IT-Grundschutz-Maßnahmen umfasst ein identisches oder äquivalentes Verfahren insbesondere in diesem Kontext.,"Es gibt keine spezifische IT-Grundschutzmaßnahme, die ein Verfahren zur prozessorientierten Einstufung von Schutzbedarf von Geschäftsprozessen spezifiziert.",gpt-4o-2024-11-20,2026-04-20T22:33:48
GC.5.1.1,Festlegung der Geschäftsprozesse,normal-SdT,teilweise,0.90,ORP.5.A4; OPS.1.1.1.A12,ORP.5.A4: Konzeption und Organisation des Compliance Managements; OPS.1.1.1.A12: Spezifikation und Umsetzung klarer Betriebsprozesse,"Die IT-Grundschutz++-Anforderung GC.5.1.1 fokussiert sich auf die Festlegung der relevanten Geschäftsprozesse im Kontext des Informationssicherheitsmanagements. Die Kandidaten ORP.5.A4 und OPS.1.1.1.A12 behandeln ebenfalls Prozesse, jedoch in spezifischeren Kontexten, wie Compliance-Management und IT-Betriebsführung.","Es fehlen spezifische Hinweise zur Berücksichtigung bestehender Prozesslandkarten oder der Anforderungen im Zusammenhang mit Informationssicherheitsklassifikationen und -management, wie es durch GC.5.1.1 hervorgehoben wird.",gpt-4o-2024-11-20,2026-04-20T22:33:48
GC.5.1.2,Festlegung des Schutzbedarfs,normal-SdT,keine,0.90,,,Die vorgeschlagene Grundschutz++-Anforderung bezieht sich auf die Festlegung des Schutzbedarfs von Geschäftsprozessen und Informationen unter Einbeziehung der Geschäftsziele und der Institutionsleitung. Keiner der Kandidaten behandelt sämtliche dieser Aspekte umfassend.,Es fehlt an einer genauen Berücksichtigung der Verbindung zwischen Schutzbedarfsermittlung und den Geschäfts- sowie übergeordneten Ziele der Institution. Ebenso berücksichtigt keiner vollständig die Wechselwirkung mit der Leitungsebene und der Fokus auf priorisierte Geschäftsprozesse.,gpt-4o-2024-11-20,2026-04-20T22:33:48
GC.5.1.3,Geschäftsprozesse mit hohem Schutzbedarf,normal-SdT,teilweise,0.85,ISMS.1.A10,ISMS.1.A10: Erstellung eines Sicherheitskonzepts,"Während ISMS.1.A10 die Erstellung eines Sicherheitskonzepts beschreibt und dabei die identifizierten Schutzbedarfe und Risikobewertungen spezifisch erwähnt, fehlt eine explizite Anforderung der Governance-Komponente und eine spezielle Methodikdokumentation für die Risikobetrachtung von Prozessen mit hohem Schutzbedarf.",Es fehlt eine dedizierte Erwähnung einer Methodik sowie der Governance-Aspekte für die Risikobetrachtung speziell für Prozesse mit hohem Schutzbedarf.,gpt-4o-2024-11-20,2026-04-20T22:33:48
