gspp_id,gspp_title,gspp_level,coverage,confidence,gs_ids,gs_titles,rationale,gap_notes,model,timestamp
ARCH.5.1.8,Inspektion verschlüsselter Verbindungen,normal-SdT,teilweise,0.47,NET.3.2.A21; NET.1.1.A12; NET.3.2.A20,NET.3.2.A21: Temporäre Entschlüsselung des Datenverkehrs; NET.1.1.A12: Absicherung ausgehender interner Kommunikation zum Internet; NET.3.2.A20: Absicherung von grundlegenden Internetprotokollen,"Gemittelte Kandidatenscores: NET.3.2.A21=0.47, NET.1.1.A12=0.34, NET.3.2.A20=0.34
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.9300 gs_ids=NET.3.2.A21
[manual:gspp_compliance_v3approach] coverage=voll confidence=0.6855 gs_ids=NET.3.2.A20;NET.1.1.A12
Model-Begründungen:
[gpt-5.4-mini] NET.3.2.A21 deckt den Kernaspekt der GS++-Anforderung ab, nämlich die temporäre Entschlüsselung verschlüsselter Verbindungen zur Protokollverifikation und Schadsoftwareprüfung mittels TLS-Proxy. Die GS++-Anforderung geht jedoch weiter und fordert allgemein die Inspektion verschlüsselter Verbindungen basierend auf der Art des Inhalts sowie mögliche Inspektion auf Endstellen; diese allgemeine Inhalts- und Endstellenperspektive wird durch NET.3.2.A21 nicht vollständig abgedeckt.",[gpt-5.4-mini] Nicht abgedeckt sind die allgemein formulierte Inhaltssteuerung für verschlüsselte Verbindungen unabhängig von einem konkreten TLS-Proxy-Einsatz sowie die explizite Inspektion auf den Endstellen der Verbindungen. Ebenfalls fehlt die breitere Architekturvorgabe für externe Netzanschlüsse.,gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:54:59
ARCH.2.2.1,Externe Netzanschlüsse,normal-SdT,teilweise,0.78,NET.1.1.A11; NET.3.3.A11; CON.7.A7; CON.7.A8; INF.10.A6; NET.1.1.A10; NET.1.1.A18; NET.1.1.A4; SYS.3.1.A8; SYS.3.1.A9,NET.1.1.A11: Absicherung eingehender Kommunikation vom Internet in das interne Netz; NET.3.3.A11: Sichere Anbindung eines externen Netzes; CON.7.A7: Sicherer Remote-Zugriff auf das Netz der Institution; CON.7.A8: Sichere Nutzung von öffentlichen WLANs; INF.10.A6: Einrichtung sicherer Netzzugänge; NET.1.1.A10: DMZ-Segmentierung für Zugriffe aus dem Internet; NET.1.1.A18: P-A-P-Struktur für die Internet-Anbindung; NET.1.1.A4: Netztrennung in Zonen; SYS.3.1.A8: Sicherer Anschluss von Laptops an Datennetze; SYS.3.1.A9: Sicherer Fernzugriff mit Laptops,"Gemittelte Kandidatenscores: NET.1.1.A11=0.78, NET.3.3.A11=0.78, CON.7.A7=0.42, CON.7.A8=0.42, INF.10.A6=0.42, NET.1.1.A10=0.42, NET.1.1.A18=0.42, NET.1.1.A4=0.42, SYS.3.1.A8=0.42, SYS.3.1.A9=0.42
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8400 gs_ids=NET.1.1.A4;NET.1.1.A10;NET.1.1.A18;NET.1.1.A11;NET.3.3.A11;SYS.3.1.A9;CON.7.A7;CON.7.A8;SYS.3.1.A8;INF.10.A6
[manual:gspp_compliance_v3approach] coverage=voll confidence=0.7116 gs_ids=NET.3.3.A11;NET.1.1.A11
Model-Begründungen:
[gpt-5.4-mini] Die Anforderung ARCH.2.2.1 zielt darauf ab, externe Netzanschlüsse in der Architektur zu begrenzen, um Angriffsfläche, unerwünschte Ein-/Ausleitungen und Datenabfluss zu reduzieren. Inhaltlich passen dazu insbesondere NET.1.1.A4, NET.1.1.A10, NET.1.1.A18, NET.1.1.A11 und NET.1.1.A9? Nein: aus der Kandidatenliste ist NET.1.1.A9 nur die allgemeine Einstufung nicht vertrauenswürdiger Netze und unterstützt die Abgrenzung, aber sie regelt keine konkrete Einschränkung von externen Anschlüssen. Stärker decken NET.1.1.A4, NET.1.1.A10, NET.1.1.A18 und NET.1.1.A11 die technische Begrenzung externer Anbindungen, DMZ-Trennung und den zwingenden sicheren Kanal für Zugriffe aus dem Internet ab. NET.3.3.A11 ergänzt, dass VPN-Verbindungen nur zwischen vorgesehenen Systemen aufgebaut werden sollen, also externe Anbindungen kontrolliert werden. Für mobile Systeme und Fernzugriff sind SYS.3.1.A9, CON.7.A7 und CON.7.A8 relevant, weil sie den Zugriff aus öffentlichen Netzen bzw. WLANs nur über einen sicheren Kommunikationskanal/VPN zulassen. SYS.3.1.A8 und INF.10.A6 passen ebenfalls teilweise, weil sie den sicheren Anschluss von Laptops sowie die Trennung bzw. Absicherung von Netzzugängen in Räumen mit externen Geräten adressieren. Dennoch bleibt die GS++-Anforderung allgemeiner und architektonischer: Sie fordert das einschränkende Design externer Netzanschlüsse als Grundsatz, während die Kandidaten überwiegend konkrete Teilfälle wie Internetzugang, VPN, WLAN, DMZ oder mobile Endgeräte regeln. Eine vollständige Abdeckung liegt daher nicht vor.","[gpt-5.4-mini] Nicht vollständig abgedeckt sind der allgemeine, architekturweite Grundsatz zur Einschränkung externer Netzanschlüsse sowie die explizite Zielsetzung, unerwünschte Ein- und Ausleitungen und Datenabflüsse in allen Segmenten systematisch zu minimieren. Die Kandidaten behandeln vor allem konkrete Umsetzungen (Internet/VPN, DMZ, mobile Systeme, WLAN, Besprechungsräume), nicht aber eine durchgängig allgemeine Architekturregel für alle externen Netzanschlüsse.",gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:54:59
ARCH.1.1.1,Dokumentation,normal-SdT,teilweise,0.43,APP.6.A10; APP.7.A6; CON.8.A12; DER.3.1.A6; IND.1.A11; NET.1.2.A12; SYS.1.1.A11; SYS.4.4.A6,APP.6.A10: Erstellung einer Sicherheitsrichtlinie für den Einsatz der Software; APP.7.A6: Dokumentation der Anforderungen an die Individualsoftware; CON.8.A12: Ausführliche Dokumentation; DER.3.1.A6: Definition der Prüfungsgrundlage und eines einheitlichen Bewertungsschemas; IND.1.A11: Sichere Beschaffung und Systementwicklung; NET.1.2.A12: Ist-Aufnahme und Dokumentation des Netzmanagements; SYS.1.1.A11: Festlegung einer Sicherheitsrichtlinie für Server; SYS.4.4.A6: Aufnahme von IoT-Geräten in die Sicherheitsrichtlinie der Institution,"Gemittelte Kandidatenscores: APP.6.A10=0.43, APP.7.A6=0.43, CON.8.A12=0.43, DER.3.1.A6=0.43, IND.1.A11=0.43, NET.1.2.A12=0.43, SYS.1.1.A11=0.43, SYS.4.4.A6=0.43
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8600 gs_ids=APP.6.A10;CON.8.A12;DER.3.1.A6;NET.1.2.A12;IND.1.A11;APP.7.A6;SYS.1.1.A11;SYS.4.4.A6
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] Die Anforderung ARCH.1.1.1 verlangt allgemein, dass Verfahren und Regelungen dokumentiert werden. Das wird inhaltlich durch mehrere Kandidaten teilweise getroffen: APP.6.A10 fordert die Zusammenfassung von Regelungen in einer Sicherheitsrichtlinie; CON.8.A12 verlangt ausreichende Projekt-, Funktions- und Schnittstellendokumentationen; DER.3.1.A6 verlangt eine dokumentierte einheitliche Prüfungsgrundlage und ein Bewertungsschema; NET.1.2.A12 fordert eine vollständige und aktuelle Dokumentation des Netzmanagements; IND.1.A11 verlangt die Dokumentation von Regelungen zur Informationssicherheit bei Beschaffung/Planung/Entwicklung; APP.7.A6 fordert die umfassende Dokumentation von Anforderungen und Sicherheitsprofilen; SYS.1.1.A11 und SYS.4.4.A6 verlangen jeweils eine Sicherheitsrichtlinie mit dokumentierter Umsetzung bzw. Ergebnisdokumentation. Alle diese Anforderungen zeigen den Dokumentationsgedanken für Regelungen und Verfahren, jedoch jeweils nur bezogen auf ihren spezifischen Fachkontext.","[gpt-5.4-mini] Nicht vollständig abgedeckt sind der ausdrücklich allgemeine, bausteinübergreifende Charakter der GS++-Anforderung sowie die Möglichkeit, die Dokumentation zielgruppengerecht und in beliebiger organisatorischer Form (eigenständiges Dokument, Abschnitt, digitales Managementsystem) zu strukturieren. Einige Kandidaten dokumentieren nur fachliche Teilbereiche (z. B. Webanwendung, Server, IoT, Netzmanagement, Audits) statt die allgemeinen Architektur-Verfahren und -Regelungen insgesamt.",gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:54:59
ARCH.5.1.12,Software-definierte Verbindungen,erhöht,teilweise,0.41,INF.14.A6; NET.3.2.A2; NET.3.3.A11; NET.3.4.A6,INF.14.A6: Separierung von Netzen der GA; NET.3.2.A2: Festlegen der Firewall-Regeln; NET.3.3.A11: Sichere Anbindung eines externen Netzes; NET.3.4.A6: Festlegung von Notfallprozessen für NAC,"Gemittelte Kandidatenscores: INF.14.A6=0.41, NET.3.2.A2=0.41, NET.3.3.A11=0.41, NET.3.4.A6=0.41
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8300 gs_ids=NET.3.2.A2;INF.14.A6;NET.3.4.A6;NET.3.3.A11
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] NET.3.2.A2 passt inhaltlich, weil dort Kommunikationsverbindungen per Firewall-Filterregeln festgelegt und unerlaubte Verbindungen unterbunden werden; das ist eine technische Einschränkung von Verbindungen, allerdings statisch regelbasiert. INF.14.A6 deckt die kontrollierte und reglementierte Kommunikation zwischen logisch getrennten Netzen ab und verlangt an den Übergängen Sicherheitsfunktionen wie Firewalls; auch hier wird die Verbindungsbegrenzung adressiert, aber nicht dynamisch. NET.3.3.A11 ist einschlägig, weil VPN-Verbindungen nur zwischen vorgesehenen IT-Systemen und Diensten aufgebaut werden sollen; dies begrenzt Verbindungen auf definierte Endpunkte, jedoch ohne dynamische Kriterien. NET.3.4.A6 hat nur einen engen Teilbezug, da NAC-Notfallprozesse die zeitweise Deaktivierung bzw. Anpassung von Sicherheitsmechanismen betreffen, nicht aber die dynamische Verbindungssteuerung selbst. Keine der Anforderungen beschreibt jedoch die eigentliche Kernaussage der GS++-Anforderung, nämlich Verbindungen anhand dynamisch ermittelter Kontextmerkmale oder adaptiver Policy-Engines/SDN-Mechanismen zu steuern.","[gpt-5.4-mini] Nicht abgedeckt sind die dynamische Bewertung von Kontextmerkmalen (z. B. Device Posture, Standort, Auslastung, Risikobewertung), die adaptive Entscheidungslogik bei unveränderten Regeln sowie der explizite Bezug zu software-definierten bzw. kontextabhängigen Verbindungen. Die Kandidaten beschreiben überwiegend statische Allowlist-, Segmentierungs- oder Firewall-Regeln.",gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:54:59
ARCH.2.2.11,Physische Segmentierung,erhöht,teilweise,0.43,INF.14.A6; NET.1.1.A4; NET.4.2.A4; OPS.1.1.2.A16; SYS.1.5.A4; SYS.1.8.A15; NET.1.1.A22; NET.1.1.A23; NET.1.1.A31; NET.1.1.A33,INF.14.A6: Separierung von Netzen der GA; NET.1.1.A4: Netztrennung in Zonen; NET.4.2.A4: Einschränkung der Erreichbarkeit über VoIP; OPS.1.1.2.A16: Erweiterte Sicherheitsmaßnahmen für Administrationszugänge; SYS.1.5.A4: Sichere Konfiguration eines Netzes für virtuelle Infrastrukturen; SYS.1.8.A15: Sichere Trennung von Mandanten in Speicherlösungen; NET.1.1.A22: Spezifikation des Segmentierungskonzepts; NET.1.1.A23: Trennung von Netzsegmenten,"Gemittelte Kandidatenscores: INF.14.A6=0.43, NET.1.1.A4=0.43, NET.4.2.A4=0.43, OPS.1.1.2.A16=0.43, SYS.1.5.A4=0.43, SYS.1.8.A15=0.43, NET.1.1.A22=0.34, NET.1.1.A23=0.34, NET.1.1.A31=0.34, NET.1.1.A33=0.34
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8600 gs_ids=NET.1.1.A4;SYS.1.5.A4;INF.14.A6;SYS.1.8.A15;OPS.1.1.2.A16;NET.4.2.A4
[manual:gspp_compliance_v3approach] coverage=teilweise confidence=0.6711 gs_ids=NET.1.1.A31;NET.1.1.A23;NET.1.1.A33;NET.1.1.A22
Model-Begründungen:
[gpt-5.4-mini] NET.1.1.A4 passt, weil dort Netze/Zonen ausdrücklich physisch zu separieren sind und die Trennung durch Firewalls ergänzt wird. Das deckt den Kern der physischen Segmentierung auf Netzebene ab, allerdings nur bezogen auf interne/DMZ-/Außenanbindungen und nicht allgemein als Architekturprinzip. SYS.1.5.A4 und SYS.1.8.A15 adressieren ebenfalls das Verhindern der Umgehung von Sicherheitsmechanismen bzw. die sichere Trennung in virtualisierten Umgebungen, was den Sicherheitsgedanken der Anforderung stützt, aber primär virtuelle statt physische Segmentierung betrifft. INF.14.A6 fordert eine mindestens logische Trennung von GA-Netzen und kontrollierte Kommunikation, ggf. auch netztechnische Separierung; das ist thematisch nah, aber nicht spezifisch physische Segmentierung allgemein. OPS.1.1.2.A16 fordert die Trennung von Administrationsnetzen und produktiven Netzen durch Filter- und Segmentierungsmaßnahmen; das ist eine konkrete Segmentierungsmaßnahme, aber nur für Adminzugänge. NET.4.2.A4 verhindert direkte Verbindungen aus unsicheren Netzen zu VoIP-Komponenten und setzt damit ebenfalls auf kontrollierte, getrennte Zugänge, jedoch nur im VoIP-Kontext.","[gpt-5.4-mini] Nicht vollständig abgedeckt ist die generelle Anforderung, Netze architektonisch physisch voneinander zu trennen, statt nur logisch oder über technische Kontrollmechanismen zu segmentieren. Die Kandidaten behandeln überwiegend spezielle Anwendungsdomänen (Virtualisierung, GA, Admin-, VoIP- oder Mandantentrennung) und nicht die allgemeine, domänenübergreifende physische Segmentierung aller relevanten Netze. Auch die explizite Aussage, dass physische Trennung Konfigurationsfehler und Umgehungen besonders wirksam reduziert, wird nur indirekt gestützt, nicht als allgemeine Architekturvorgabe umgesetzt.",gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:54:59
ARCH.2.2.9,Segmentierung von IPv4 und IPv6,normal-SdT,teilweise,0.44,NET.1.1.A20,NET.1.1.A20: Zuweisung dedizierter Subnetze für IPv4/IPv6-Endgerätegruppen,"Gemittelte Kandidatenscores: NET.1.1.A20=0.44
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.8800 gs_ids=NET.1.1.A20
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] NET.1.1.A20 passt inhaltlich am besten, weil es die Zuordnung unterschiedlicher IPv4-/IPv6-Endgerätegruppen zu dedizierten Subnetzen verlangt und damit eine technische Segmentierung nach IP-Protokoll beschreibt. Das geht in die gleiche Richtung wie die GS++-Anforderung ARCH.2.2.9, die Verbindungen zwischen IPv4 und IPv6 einschränken will. Allerdings beschreibt NET.1.1.A20 primär die Subnetz-Zuordnung von Endgeräten und nicht ausdrücklich die allgemeine Einschränkung von Verbindungen zwischen IPv4- und IPv6-Segmenten bzw. zwischen Protokollwelten in der gesamten Netzarchitektur.",[gpt-5.4-mini] Nicht vollständig abgedeckt sind die allgemeine Vorgabe zur Einschränkung von Verbindungen zwischen IPv4 und IPv6 sowie die explizite Betrachtung der Wechselwirkungen/Sicherheitsunterschiede beider Protokollstacks. Die Anforderung adressiert eher die Segmentierungsmaßnahme über dedizierte Subnetze als die umfassende Protokolltrennung.,gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:54:59
ARCH.2.2.8,Segmentierung von Test und Betrieb,normal-SdT,teilweise,0.48,OPS.1.1.6.A13,OPS.1.1.6.A13: Trennung der Testumgebung von der Produktivumgebung,"Gemittelte Kandidatenscores: OPS.1.1.6.A13=0.48
Model-Entscheidungen:
[gpt-5.4-mini] coverage=voll confidence=0.9600 gs_ids=OPS.1.1.6.A13
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] OPS.1.1.6.A13 deckt die Kernforderung direkt ab: Es fordert ausdrücklich, dass Software nur in einer vorgesehenen Testumgebung getestet wird und dass diese Testumgebung von der Produktivumgebung getrennt betrieben werden SOLL. Damit entspricht es inhaltlich der geforderten Segmentierung bzw. Einschränkung von Verbindungen zwischen Test und Betrieb. Die weiteren Aspekte der Grundschutz++-Anforderung (saubere Trennung zur Vermeidung von Übergriffen und Ressourcenkonflikten) sind vom Trennungsgebot ebenfalls erfasst.","[gpt-5.4-mini] Keine wesentlichen Lücken; die Anforderung ist etwas allgemeiner formuliert als die GS++-Anforderung, trifft aber den Schutzaspekt vollständig.",gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:54:59
ASST.2.2.1,Aufdecken unautorisierter IT-Systeme,normal-SdT,teilweise,0.39,NET.2.1.A14; NET.2.2.A1; OPS.1.1.1.A6,NET.2.1.A14: Regelmäßige Audits der WLAN-Komponenten; NET.2.2.A1: Erstellung einer Nutzungsrichtlinie für WLAN; OPS.1.1.1.A6: Durchführung des IT-Asset-Managements,"Gemittelte Kandidatenscores: NET.2.1.A14=0.39, NET.2.2.A1=0.39, OPS.1.1.1.A6=0.39
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.7800 gs_ids=NET.2.2.A1;NET.2.1.A14;OPS.1.1.1.A6
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] NET.2.2.A1 passt inhaltlich am ehesten, weil die WLAN-Nutzungsrichtlinie explizit das Verbot ungenehmigter Access Points enthält und damit organisatorisch auf das Verhindern unautorisierter Netzkomponenten abzielt. NET.2.1.A14 ergänzt dies durch regelmäßige Audits der WLAN-Komponenten und die Überprüfung auf Abweichungen, was eine Erkennung unbekannter oder unerlaubter WLAN-Infrastruktur unterstützt. OPS.1.1.1.A6 beschreibt das Erstellen und Pflegen einer vollständigen IT-Asset-Übersicht und kann unautorisierte Systeme nur indirekt über Inventarisierung sichtbar machen. Zusammen decken die Kandidaten Teile des Ziels ab, unautorisierte IT-Systeme zu erkennen und zu dokumentieren, aber nicht vollständig die geforderte aktive Aufdeckung mittels z. B. Netzscans, passiver Analysen oder spezieller Erkennungswerkzeuge sowie die Behandlung gefundener Systeme.","[gpt-5.4-mini] Nicht abgedeckt sind die konkreten technischen Erkennungsverfahren (aktive Netzscans, passive Traffic-Analysen, Erkennung unbekannter WLAN-APs mit Spezialwerkzeugen) sowie die vorgeschlagene Reaktion auf gefundene Systeme (Entfernung aus dem Netz, Quarantäne oder nachträgliche Autorisierung). OPS.1.1.1.A6 adressiert primär Inventarisierung, nicht das aktive Aufdecken.",gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:54:59
ASST.7.1,Nicht mehr benötigte Anwendungen,normal-SdT,teilweise,0.45,APP.6.A13; SYS.1.9.A15; SYS.2.1.A16; SYS.3.2.2.A7; SYS.4.4.A13,APP.6.A13: Deinstallation von Software; SYS.1.9.A15: Härtung des Terminalservers; SYS.2.1.A16: Deaktivierung und Deinstallation nicht benötigter Komponenten und Kennungen; SYS.3.2.2.A7: Installation von Apps; SYS.4.4.A13: Deaktivierung und Deinstallation nicht benötigter Komponenten,"Gemittelte Kandidatenscores: APP.6.A13=0.45, SYS.1.9.A15=0.45, SYS.2.1.A16=0.45, SYS.3.2.2.A7=0.45, SYS.4.4.A13=0.45
Model-Entscheidungen:
[gpt-5.4-mini] coverage=teilweise confidence=0.9000 gs_ids=APP.6.A13;SYS.2.1.A16;SYS.1.9.A15;SYS.3.2.2.A7;SYS.4.4.A13
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] APP.6.A13 deckt die Deinstallation von Software einschließlich der Entfernung nicht mehr benötigter Dateien und Systemeinträge ab und passt damit direkt zum Kernaspekt der nicht mehr benötigten Anwendungsinstanz. SYS.2.1.A16 erweitert dies auf Clients und nennt ausdrücklich die Deinstallation nicht benötigter Anwendungen, Programme und Dienste sowie nicht benötigter Kennungen. SYS.1.9.A15 ist inhaltlich sehr nah für Terminalserver, da dort nicht benötigte Anwendungen entfernt oder ihre Ausführung unterbunden werden soll. SYS.3.2.2.A7 adressiert die Installation, Deinstallation und Aktualisierung von Apps über MDM auf mobilen Endgeräten und trifft damit den mobilen Teilaspekt. SYS.4.4.A13 fordert für IoT-Geräte die Deaktivierung oder Deinstallation nicht benötigter Protokolle, Dienste und Anwendungen und ist damit ebenfalls ein enger Teiltreffer. Insgesamt wird der Deinstallationsaspekt technisch abgedeckt, aber nicht vollständig die in der GS++-Anforderung enthaltenen organisatorischen und weitergehenden Punkte wie geregelter Gesamtprozess, zugehörige Berechtigungen/Zugriffsrechte, Cloud-Datenlöschung bei nicht kontrollierten Instanzen und die breite Asset-/Anwendungsperspektive über alle Umgebungen hinweg.","[gpt-5.4-mini] Nicht vollständig abgedeckt sind: geregelter End-to-End-Prozess zur vollständigen und nachvollziehbaren Entfernung inklusive Konfigurationsbereinigung als explizite Prozessvorgabe, die Löschung zugehöriger lokaler und Cloud-Daten, der Entzug nicht mehr benötigter Berechtigungen/Zugriffsrechte sowie der allgemeine, bausteinübergreifende Anwendungsbezug für alle Plattformen und Betriebsformen.",gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:54:59
ASST.2.1.1,Informationsverantwortung,normal-SdT,teilweise,0.47,ORP.1.A2,ORP.1.A2: Zuweisung der Zuständigkeiten,"Gemittelte Kandidatenscores: ORP.1.A2=0.47
Model-Entscheidungen:
[gpt-5.4-mini] coverage=voll confidence=0.9300 gs_ids=ORP.1.A2
[manual:gspp_compliance_v3approach] coverage=keine confidence=0.0000 gs_ids=
Model-Begründungen:
[gpt-5.4-mini] ORP.1.A2 deckt die wesentlichen Inhalte der GS++-Anforderung ASST.2.1.1 ab: Es fordert, dass für Geschäftsprozesse, Anwendungen und IT-Systeme festgelegt wird, wer zuständig ist, und dass alle Mitarbeitenden darüber informiert sind. Damit ist die Zuweisung einer internen Zuständigkeit bzw. Asset Ownership für Informationen und die damit verbundene Verantwortung für deren Schutz inhaltlich getroffen. Die von ASST.2.1.1 beschriebene Zuordnung der Verarbeitung und des Schutzes von Informationen ist durch diese allgemeine Zuständigkeitsfestlegung abgedeckt.","[gpt-5.4-mini] Die Konkretisierung auf 'Informationen und Assets für Daten' sowie die alternative Umsetzung über dezentrales Nachhalten oder Gruppierung nach Assets wird in ORP.1.A2 nicht ausdrücklich beschrieben, ist aber für die wesentliche Zielsetzung nicht erforderlich.",gpt-5.4-mini+manual:gspp_compliance_v3approach,2026-04-22T10:54:59
