gspp_id,gspp_title,gspp_level,coverage,confidence,gs_ids,gs_titles,rationale,gap_notes,model,timestamp
GC.1.1,Errichtung und Aufrechterhaltung eines ISMS,normal-SdT,voll,1.00,GC.1.1,GC.1.1: Errichtung und Aufrechterhaltung eines ISMS,"Die Grundschutz++-Anforderung GC.1.1 ist eine exakte Kopie der klassischen IT-Grundschutz-Anforderung GC.1.1. Da die GS++-Anforderung wortgleich die Errichtung und Aufrechterhaltung eines ISMS sowie die Verankerung von Verfahren und Regelungen fordert, deckt die Kandidaten-ID GC.1.1 diesen Anspruch zu 100% inhaltlich, strukturell und regulatorisch ab.",,google/gemma-4-26b-a4b-it,2026-04-22T15:12:50
GC.2.1,Festlegung des externen Kontextes der Institution,normal-SdT,voll,1.00,GC.2.1,GC.2.1: Festlegung des externen Kontextes der Institution,"Die Grundschutz++-Anforderung GC.2.1 ist in diesem spezifischen Fall eine exakte Kopie (identischer Text, Statement und Guidance) der klassischen IT-Grundschutz-Anforderung [1] GC.2.1. Da die GS++-Anforderung keine zusätzliche Tiefe oder neue Aspekte gegenüber der IT-Grundschutz-Anforderung GC.2.1 aufweist, bietet die GS-Anforderung eine vollständige Abdeckung aller geforderten Aspekte (Sammlung, Integration und Priorisierung externer Rahmenbedingungen inkl. gesellschaftlicher, rechtlicher, technologischer, wirtschaftlicher und ökologischer Faktoren).",,google/gemma-4-26b-a4b-it,2026-04-22T15:12:50
GC.2.2,Festlegung des internen Kontextes der Institution,normal-SdT,voll,1.00,GC.2.2,GC.2.2: Festlegung des internen Kontextes der Institution,"Die Grundschutz++-Anforderung GC.2.2 ist inhaltlich identisch mit der im IT-Grundschutz-Kompendium gelisteten Anforderung [1] GC.2.2. Sowohl das Statement als auch die Guidance decken exakt dieselben Aspekte ab: Das Verfahren zur Sammlung, Integration und Priorisierung interner Rahmenbedingungen sowie die systematische Analyse interner Faktoren (Strategien, Werte, Struktur, Prozesse, IT-Infrastruktur und Kultur). Da die Anforderung im Kompendium als 1:1-Entsprechung existiert, ist die Abdeckung vollständig.",,google/gemma-4-26b-a4b-it,2026-04-22T15:12:50
GC.3.1,Analyse der externen interessierten Parteien,normal-SdT,voll,1.00,GC.3.1,GC.3.1: Analyse der externen interessierten Parteien,"Die Grundschutz++-Anforderung GC.3.1 ist inhaltlich identisch mit der Kandidaten-Anforderung GC.3.1 aus dem IT-Grundschutz-Kompendium. Beide fordern das Verankern eines Verfahrens zur Ermittlung externer interessierter Parteien sowie die Bewertung ihrer Anforderungen (Gesetzgeber, Kunden, etc.) für das ISMS. Da die GS++-Anforderung eine exakte Kopie der vorliegenden GS-Anforderung ist, ist die Abdeckung als 'voll' zu bewerten.",,google/gemma-4-26b-a4b-it,2026-04-22T15:12:50
GC.3.2,Analyse der internen interessierten Parteien,normal-SdT,voll,1.00,GC.3.2,GC.3.2: Analyse der internen interessierten Parteien,"Die Grundschutz++-Anforderung GC.3.2 ist in der bereitgestellten Kandidatenliste [1] mit der identischen ID 'GC.3.2' enthalten. Da der Text, das Statement und die Guidance exakt übereinstimmen, ist eine vollständige inhaltliche Abdeckung gegeben.",keine,google/gemma-4-26b-a4b-it,2026-04-22T15:12:50
GC.4.1,Festlegung des Geltungsbereichs,normal-SdT,voll,1.00,GC.4.1,GC.4.1: Festlegung des Geltungsbereichs,"Die Grundschutz++-Anforderung GC.4.1 ist inhaltlich identisch mit der klassischen IT-Grundschutz-Anforderung [1] GC.4.1. Beide fordern die Festlegung und Dokumentation des Geltungsbereichs (Scope) des ISMS inklusive der Abgrenzung von Organisationsbereichen, Geschäftsprozessen, Standorten, Systemen und externen Partnern sowie die formale Freigabe durch die Institutionsleitung.",,google/gemma-4-26b-a4b-it,2026-04-22T15:12:50
GC.5.1,Vorgehen bei der Infomationssicherheitseinstufung,normal-SdT,voll,1.00,GC.5.1.1; GC.5.1.2,GC.5.1.1: Festlegung der Geschäftsprozesse; GC.5.1.2: Festlegung des Schutzbedarfs,"Die GS++-Anforderung GC.5.1 fordert die Verankerung eines Verfahrens zur Festlegung von Geschäftsprozessen und der Einstufung des Schutzbedarfs (normal/hoch). Dies wird durch die Kandidaten vollumfänglich abgedeckt: GC.5.1.1 adressiert die notwendige Festlegung der relevanten Geschäftsprozesse, und GC.5.1.2 konkretisiert das Verfahren zur eigentlichen Schutzbedarfsfeststellung (einschließlich der Unterscheidung zwischen 'normal' und 'hoch' sowie der Einbindung der Institutionsleitung). Zusammen bilden sie den im GS++-Statement geforderten Prozess ab.",keine,google/gemma-4-26b-a4b-it,2026-04-22T15:12:50
GC.5.1.1,Festlegung der Geschäftsprozesse,normal-SdT,voll,1.00,GC.5.1.1; GC.5.1,GC.5.1.1: Festlegung der Geschäftsprozesse; GC.5.1: Vorgehen bei der Infomationssicherheitseinstufung,"Die Grundschutz++-Anforderung GC.5.1.1 ('Festlegung der Geschäftsprozesse') ist inhaltlich identisch mit der IT-Grundschutz-Anforderung [1] GC.5.1.1. Zudem wird die Anforderung durch [2] GC.5.1 ('Vorgehen bei der Informationssicherheitseinstufung') ergänzt/abgedeckt, da diese die Verankerung des Verfahrens zur Festlegung von Geschäftsprozessen als integralen Bestandteil des Einstufungsprozesses explizit fordert. Damit sind sowohl die Festlegung als auch die prozessuale Verankerung vollständig abgedeckt.",,google/gemma-4-26b-a4b-it,2026-04-22T15:12:50
GC.5.1.2,Festlegung des Schutzbedarfs,normal-SdT,voll,1.00,GC.5.1.2,GC.5.1.2: Festlegung des Schutzbedarfs,Die Grundschutz++-Anforderung GC.5.1.2 ist inhaltlich identisch mit der Kandidaten-Anforderung GC.5.1.2 aus dem IT-Grundschutz-Kompendium. Beide fordern die Einstufung des Schutzbedarfs von Geschäftsprozessen und Informationsarten in die Stufen 'normal' oder 'hoch' unter Berücksichtigung der Geschäftsziele und in Absprache mit der Institutionsleitung.,,google/gemma-4-26b-a4b-it,2026-04-22T15:12:50
GC.5.1.3,Geschäftsprozesse mit hohem Schutzbedarf,normal-SdT,voll,1.00,GC.5.1.3,GC.5.1.3: Geschäftsprozesse mit hohem Schutzbedarf,"Die Grundschutz++-Anforderung GC.5.1.3 ist identisch mit der IT-Grundschutz-Anforderung [1] GC.5.1.3. Da die Anforderung im Kompendium bereits als eigenständiger Baustein existiert, deckt sie sich inhaltlich zu 100% mit sich selbst hinsichtlich der Pflicht zur dedizierten Risikobetrachtung für Prozesse mit hohem Schutzbedarf und der Vorgabe einer Risikomethodik.",,google/gemma-4-26b-a4b-it,2026-04-22T15:12:50
