gspp_id,gspp_title,gspp_level,coverage,confidence,gs_id,gs_title,gs_baustein,gs_level,rationale,gap_notes,decision,discriminator_reasoning,original_model,discriminator_model,timestamp
GC.1.1,Errichtung und Aufrechterhaltung eines ISMS,normal-SdT,voll,0.99,GC.1.1,Errichtung und Aufrechterhaltung eines ISMS,,normal-SdT,"Die GS++-Anforderung GC.1.1 ist identisch mit der Kandidatenanforderung GC.1.1. Beide fordern ausdrücklich die Errichtung und Aufrechterhaltung eines ISMS durch verankerte Verfahren und Regelungen. Inhalt, Regelungsart, Detaillierung und Zielrichtung stimmen vollständig überein.",,keep,"Diese Anforderung ist identisch zur GS++-Anforderung und deckt den Kernaspekt vollständig ab: Verfahren und Regelungen zur Errichtung und Aufrechterhaltung eines ISMS. Es gibt im Set keinen anderen Kandidaten, der diesen Aspekt abdeckt; daher ist sie notwendig.",gpt-5.4-mini,gpt-5.4-thinking,2026-04-22T14:30:48
GC.2.1,Festlegung des externen Kontextes der Institution,normal-SdT,voll,0.99,GC.2.1,Festlegung des externen Kontextes der Institution,,normal-SdT,"GC.2.1 ist inhaltlich identisch zur GS++-Anforderung. Beide verlangen ein Verfahren zur Sammlung, Integration und Priorisierung aller für das Informationssicherheitsmanagement relevanten externen Rahmenbedingungen bzw. den externen Kontext der Institution. Die genannten externen Faktoren (gesellschaftlich/kulturell, rechtlich/regulatorisch, technologisch, wirtschaftlich sowie ökologische/physische Umweltbedingungen) stimmen ebenfalls überein.",,keep,"Notwendig: Die Anforderung ist inhaltlich identisch zur GS++-Anforderung und deckt vollständig den gesamten Kernaspekt ab (Verfahren zur Sammlung, Integration und Priorisierung aller relevanten externen Rahmenbedingungen inkl. rechtlicher, technologischer, wirtschaftlicher sowie gesellschaftlicher/ökologischer Faktoren). Es gibt keine andere Anforderung im Set, die diesen Aspekt besser oder zusätzlich abdeckt.",gpt-5.4-mini,gpt-5.4-thinking,2026-04-22T14:30:48
GC.2.2,Festlegung des internen Kontextes der Institution,normal-SdT,voll,0.99,GC.2.2,Festlegung des internen Kontextes der Institution,,normal-SdT,"Die Kandidatin GC.2.2 deckt die GS++-Anforderung inhaltlich vollständig ab: Beide fordern ein Verfahren zur Sammlung, Integration und Priorisierung der für das Informationssicherheitsmanagement relevanten internen Rahmenbedingungen. Auch die in der Guidance genannten internen Faktoren (Strategien, Ziele, Struktur, Prozesse, Infrastruktur, Kultur) entsprechen unmittelbar der GS++-Anforderung.",,keep,"Einziger Kandidat im Set und deckt die GS++-Anforderung vollständig ab: Verfahren zur Sammlung, Integration und Priorisierung interner, für das ISM relevanter Rahmenbedingungen inkl. Analyse/Dokumentation interner Faktoren. Ohne diese Anforderung geht ein Kernaspekt verloren.",gpt-5.4-mini,gpt-5.4-thinking,2026-04-22T14:30:48
GC.3.1,Analyse der externen interessierten Parteien,normal-SdT,voll,0.99,GC.3.1,Analyse der externen interessierten Parteien,,normal-SdT,"GC.3.1 deckt die Grundschutz++-Anforderung inhaltlich vollständig ab: Beide beschreiben ein Verfahren zum Ermitteln aller externen interessierten Parteien, zur Erfassung ihrer Bedürfnisse und Erwartungen an das ISMS sowie zur Bewertung von Relevanz/Priorität und zur Überführung verbindlicher Anforderungen ins ISMS. Es liegt eine nahezu wortgleiche Übereinstimmung vor.",,keep,"Deckt alle Kernaspekte der GS++-Anforderung vollständig und spezifisch ab: Verfahren zur Ermittlung externer interessierter Parteien, Erfassung ihrer Bedürfnisse und Erwartungen, Bewertung von Relevanz/Priorität sowie Überführung verbindlicher Verpflichtungen ins ISMS. Es gibt keinen anderen Kandidaten im Set, daher ist sie notwendig.",gpt-5.4-mini,gpt-5.4-thinking,2026-04-22T14:30:48
GC.3.2,Analyse der internen interessierten Parteien,normal-SdT,voll,0.99,GC.3.2,Analyse der internen interessierten Parteien,,normal-SdT,"GC.3.2 ist inhaltlich identisch zur Grundschutz++-Anforderung: Beide verlangen ein Verfahren zum Ermitteln aller internen interessierten Parteien sowie ihrer Bedürfnisse und Erwartungen an das Informationssicherheitsmanagement. Auch die Beispiele in der Guidance (Geschäftsführung, Mitarbeitende, Führungskräfte, Betriebsrat/Personalrat) stimmen überein.",,keep,Einziger Kandidat im Set und inhaltlich deckungsgleich mit der GS++-Anforderung. Er enthält alle Kernaspekte: Verfahren zum Ermitteln aller internen interessierten Parteien sowie deren Bedürfnisse und Erwartungen an das Informationssicherheitsmanagement. Ohne diese Anforderung wäre der Zielinhalt nicht abgedeckt.,gpt-5.4-mini,gpt-5.4-thinking,2026-04-22T14:30:48
GC.4.1,Festlegung des Geltungsbereichs,normal-SdT,keine,0.12,GC.1.1,Errichtung und Aufrechterhaltung eines ISMS,,normal-SdT,"Keine der Kandidaten deckt die GS++-Anforderung GC.4.1 inhaltlich ab. GC.1.1 beschreibt allgemein die Errichtung und Aufrechterhaltung eines ISMS, aber nicht die konkrete Festlegung und Abgrenzung des Geltungsbereichs. GC.6.1.2 betrifft die formale Verpflichtung der Institutionsleitung, nicht die Scope-Definition. Die übrigen Kandidaten behandeln Kontextanalyse, Sicherheitsleitlinie, Ziele, Compliance oder Schutzbedarf und sind ebenfalls nicht gleichbedeutend mit der Festlegung eines nachvollziehbar abgegrenzten ISMS-Geltungsbereichs nach Freigabe.","Es fehlt die explizite Anforderung, den ISMS-Scope formal festzulegen, organisatorisch und infrastrukturell abzugrenzen, eingeschlossene und ausgeschlossene Bereiche zu benennen sowie die Freigabe durch die Institutionsleitung für genau diesen Geltungsbereich zu verlangen.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini,gpt-5.4-thinking,2026-04-22T14:30:48
GC.4.1,Festlegung des Geltungsbereichs,normal-SdT,keine,0.12,GC.6.1.2,Verpflichtung der Institutionsleitung,,normal-SdT,"Keine der Kandidaten deckt die GS++-Anforderung GC.4.1 inhaltlich ab. GC.1.1 beschreibt allgemein die Errichtung und Aufrechterhaltung eines ISMS, aber nicht die konkrete Festlegung und Abgrenzung des Geltungsbereichs. GC.6.1.2 betrifft die formale Verpflichtung der Institutionsleitung, nicht die Scope-Definition. Die übrigen Kandidaten behandeln Kontextanalyse, Sicherheitsleitlinie, Ziele, Compliance oder Schutzbedarf und sind ebenfalls nicht gleichbedeutend mit der Festlegung eines nachvollziehbar abgegrenzten ISMS-Geltungsbereichs nach Freigabe.","Es fehlt die explizite Anforderung, den ISMS-Scope formal festzulegen, organisatorisch und infrastrukturell abzugrenzen, eingeschlossene und ausgeschlossene Bereiche zu benennen sowie die Freigabe durch die Institutionsleitung für genau diesen Geltungsbereich zu verlangen.",keep,Keine Entscheidung erhalten - als notwendig betrachtet,gpt-5.4-mini,gpt-5.4-thinking,2026-04-22T14:30:48
GC.5.1,Vorgehen bei der Infomationssicherheitseinstufung,normal-SdT,voll,0.99,GC.5.1,Vorgehen bei der Infomationssicherheitseinstufung,,normal-SdT,"Die GS++-Anforderung GC.5.1 wird inhaltlich direkt durch GC.5.1 abgedeckt; der Wortlaut ist identisch und beschreibt genau das Verfahren zur Festlegung von Geschäftsprozessen und zur Einstufung des Schutzbedarfs. Ergänzend konkretisieren GC.5.1.1 (Festlegung der Geschäftsprozesse) und GC.5.1.2 (Festlegung des Schutzbedarfs) die beiden wesentlichen Teilaspekte der Anforderung: erst die Identifikation relevanter Geschäftsprozesse, dann die prozessorientierte Schutzbedarfsfeststellung für Geschäftsprozesse und Informationen. Zusammen decken diese Anforderungen den gesamten Inhalt der GS++-Anforderung vollständig ab.",Keine inhaltlichen Lücken; die Kandidatenliste enthält die direkte Entsprechung sowie die beiden fachlichen Teilanforderungen.,keep,Direkte Entsprechung der GS++-Anforderung: fordert genau ein Verfahren zur Festlegung von Geschäftsprozessen und zur Einstufung des Schutzbedarfs dieser Geschäftsprozesse sowie der dabei verarbeiteten Informationen. Deckt alle Kernaspekte vollständig ab.,gpt-5.4-mini,gpt-5.4-thinking,2026-04-22T14:30:48
GC.5.1,Vorgehen bei der Infomationssicherheitseinstufung,normal-SdT,voll,0.99,GC.5.1.1,Festlegung der Geschäftsprozesse,,normal-SdT,"Die GS++-Anforderung GC.5.1 wird inhaltlich direkt durch GC.5.1 abgedeckt; der Wortlaut ist identisch und beschreibt genau das Verfahren zur Festlegung von Geschäftsprozessen und zur Einstufung des Schutzbedarfs. Ergänzend konkretisieren GC.5.1.1 (Festlegung der Geschäftsprozesse) und GC.5.1.2 (Festlegung des Schutzbedarfs) die beiden wesentlichen Teilaspekte der Anforderung: erst die Identifikation relevanter Geschäftsprozesse, dann die prozessorientierte Schutzbedarfsfeststellung für Geschäftsprozesse und Informationen. Zusammen decken diese Anforderungen den gesamten Inhalt der GS++-Anforderung vollständig ab.",Keine inhaltlichen Lücken; die Kandidatenliste enthält die direkte Entsprechung sowie die beiden fachlichen Teilanforderungen.,remove,Nur ein Teilaspekt der übergeordneten Anforderung (Festlegung relevanter Geschäftsprozesse). Dieser Aspekt ist bereits vollständig durch GC.5.1 abgedeckt und damit redundant.,gpt-5.4-mini,gpt-5.4-thinking,2026-04-22T14:30:48
GC.5.1,Vorgehen bei der Infomationssicherheitseinstufung,normal-SdT,voll,0.99,GC.5.1.2,Festlegung des Schutzbedarfs,,normal-SdT,"Die GS++-Anforderung GC.5.1 wird inhaltlich direkt durch GC.5.1 abgedeckt; der Wortlaut ist identisch und beschreibt genau das Verfahren zur Festlegung von Geschäftsprozessen und zur Einstufung des Schutzbedarfs. Ergänzend konkretisieren GC.5.1.1 (Festlegung der Geschäftsprozesse) und GC.5.1.2 (Festlegung des Schutzbedarfs) die beiden wesentlichen Teilaspekte der Anforderung: erst die Identifikation relevanter Geschäftsprozesse, dann die prozessorientierte Schutzbedarfsfeststellung für Geschäftsprozesse und Informationen. Zusammen decken diese Anforderungen den gesamten Inhalt der GS++-Anforderung vollständig ab.",Keine inhaltlichen Lücken; die Kandidatenliste enthält die direkte Entsprechung sowie die beiden fachlichen Teilanforderungen.,remove,Nur ein Teilaspekt der übergeordneten Anforderung (Schutzbedarfsfestlegung für Geschäftsprozesse und Informationen). Dieser Aspekt ist bereits vollständig durch GC.5.1 abgedeckt; zusätzliche Konkretisierungen sind für das minimale Set nicht notwendig.,gpt-5.4-mini,gpt-5.4-thinking,2026-04-22T14:30:48
