gspp_id,gspp_title,gspp_level,coverage,confidence,gs_id,gs_title,gs_baustein,gs_level,rationale,gap_notes,decision,discriminator_reasoning,original_model,discriminator_model,timestamp
GC.1.1,Errichtung und Aufrechterhaltung eines ISMS,normal-SdT,voll,1.00,GC.1.1,Errichtung und Aufrechterhaltung eines ISMS,,normal-SdT,"Der Kandidat [1] mit der ID 'GC.1.1' (Errichtung und Aufrechterhaltung eines ISMS) weist einen wortwörtlichen Inhaltlich Übereinstimmung mit der Zielanforderung 'GC.1.1 — Errichtung und Aufrechterhaltung eines ISMS' auf. Sowohl das Statement (Verfahren und Regelungen zur Errichtung und Aufrechterhaltung eines ISMS) als auch die Guidance (Definition von ISMS, Bedingungen für das Erfüllen der Anforderung, Kontext der weiteren Anforderungen) sind exakt identisch. Da dieser einzelne Kandidat den gesamten Target-Text abdeckt, ist er im minimalen Set enthalten. Alle anderen Kandidaten (z.B. GC.6.1.2, GC.4.1) sind für die Abdeckung des spezifischen Textes von GC.1.1 nicht notwendig, da dieser bereits allein vollständig ist.",,keep,"Der Kandidat ist wortgleich zur Zielanforderung und deckt vollständig die Kernaspekte ab: Verankerung von Verfahren und Regelungen zur Errichtung und Aufrechterhaltung eines ISMS sowie die zugehörigen Erläuterungen aus der Guidance. Es gibt keinen anderen Kandidaten im Set, daher ist er notwendig.",qwen/qwen3.5-flash-02-23,gpt-5.4-thinking,2026-04-22T15:42:06
GC.2.1,Festlegung des externen Kontextes der Institution,normal-SdT,voll,1.00,GC.2.1,Festlegung des externen Kontextes der Institution,,normal-SdT,"Der Kandidat [1] GC.2.1 enthält exakt denselben Textinhalt wie die Zielanforderung GC.2.1. Das Statement (Verfahren zur Sammlung externer Rahmenbedingungen) und die Guidance (Analyze systematisch externe Faktoren: gesellschaftlich, rechtlich, technologisch, wirtschaftlich, ökologisch) sind wortwörtlich identisch. Damit werden alle wesentlichen Aspekte der GS++-Anforderung vollständig abgedeckt. Kein weiterer Kandidat ist für diese spezifische Anforderung notwendig, da keine Lücken existieren.",,keep,"Notwendig, da dieser Kandidat den Zieltext vollständig und wortgleich abdeckt. Er enthält sowohl die Vorgabe zur Sammlung, Integration und Priorisierung externer Rahmenbedingungen als auch alle in der Guidance genannten externen Faktoren (gesellschaftlich/kulturell, rechtlich/regulatorisch, technologisch, wirtschaftlich, ökologisch/physisch). Es gibt keinen weiteren Kandidaten, der diese Aspekte besser oder ergänzend abdecken könnte.",qwen/qwen3.5-flash-02-23,gpt-5.4-thinking,2026-04-22T15:42:06
GC.2.2,Festlegung des internen Kontextes der Institution,normal-SdT,voll,1.00,GC.2.2,Festlegung des internen Kontextes der Institution,,normal-SdT,"Der Kandidat [1] mit der ID GC.2.2 ist inhaltlich identisch mit der Zielanforderung GC.2.2. Beide enthalten dasselbe Statement zur Verankerung eines Verfahrens für interne Rahmenbedingungen und dieselbe Guidance zur Analyse interner Faktoren (Strategien, Werte, Ziele, Struktur, Prozesse, IT, Kultur). Damit ist die Abdeckung vollständig.",,keep,"Dieser Kandidat ist inhaltlich identisch mit der Zielanforderung und deckt alle Kernaspekte ab: das Verfahren zur Sammlung, Integration und Priorisierung interner Rahmenbedingungen sowie die geforderte Analyse/Dokumentation interner Faktoren (Strategie, Werte/Ziele, Struktur, Prozesse, IT-Infrastruktur, Kultur). Ohne ihn ginge kein Aspekt verloren.",qwen/qwen3.5-flash-02-23,gpt-5.4-thinking,2026-04-22T15:42:06
GC.3.1,Analyse der externen interessierten Parteien,normal-SdT,voll,1.00,GC.3.1,Analyse der externen interessierten Parteien,,normal-SdT,"Der Kandidat [1] GC.3.1 — Analyse der externen interessierten Parteien enthält exakt den gleichen Wortlaut wie die Zielanforderung GC.3.1. Er deckt alle wesentlichen Aspekte ab: Verpflichtung zur Ermittlung aller externen interessierten Parteien und ihrer Bedürfnisse/Erwartungen, die Beispiele für relevante Parteien (Gesetzgeber, Kunden, etc.), sowie die Bewertung der Relevanz und Priorisierung für das ISMS. Da Inhalt und Zweck identisch sind, ist die Abdeckung vollständig.",,keep,"Der Kandidat ist wortgleich zur Zielanforderung und deckt alle Kernaspekte ab: Ermittlung aller externen interessierten Parteien, Erfassung ihrer Bedürfnisse und Erwartungen sowie Bewertung von Relevanz/Priorität und Überführung relevanter Anforderungen ins ISMS. Es gibt keinen anderen Kandidaten, daher ist er notwendig.",qwen/qwen3.5-flash-02-23,gpt-5.4-thinking,2026-04-22T15:42:06
GC.3.2,Analyse der internen interessierten Parteien,normal-SdT,voll,1.00,GC.3.2,Analyse der internen interessierten Parteien,,normal-SdT,"Kandidat 1 (GC.3.2 — Analyse der internen interessierten Parteien) ist die exakte Entsprechung zur Zielanforderung. Der Statement-Text ist wortwörtlich identisch: 'Governance und Compliance MUSS ein Verfahren zum Ermitteln aller internen interessierten Parteien und ihrer Bedürfnisse und Erwartungen an das Informationssicherheitsmanagement der Institution verankern.' Das Guidance enthält dieselben Beispiele für interne interessierte Parteien (Geschäftsführung, Mitarbeiter, Führungskräfte, Betriebsrat/Personalrat). Alle wesentlichen Inhalte der GS++-Anforderung sind zu 100% abgedeckt.",,keep,Keine Entscheidung erhalten - als notwendig betrachtet,qwen/qwen3.5-flash-02-23,gpt-5.4-thinking,2026-04-22T15:42:06
GC.4.1,Festlegung des Geltungsbereichs,normal-SdT,voll,1.00,GC.4.1,Festlegung des Geltungsbereichs,,normal-SdT,"Der Kandidat [1] (GC.4.1 — Festlegung des Geltungsbereichs) enthält exakt denselben Anforderungstext und dieselbe Guidance wie der Zieltext GS++. Die Anforderung fordert eine nachvollziehbare Festlegung und Dokumentation des ISMS-Geltungsbereichs, inklusive der Abgrenzung von Institutionsbereichen, Prozessen, Standorten, Systemen, externen Partnern und ausgeschlossenen Bereichen. Da der Text identisch ist, wird die Anforderung vollständig abgedeckt.",,keep,"Dieser Kandidat ist inhaltlich identisch mit dem Zieltext und deckt alle Kernaspekte ab: Festlegung des ISMS-Geltungsbereichs nach Freigabe der Institutionsleitung, Dokumentation sowie Abgrenzung von Bereichen, Prozessen, Standorten, Systemen, externen Partnern und ausgeschlossenen Bereichen. Da kein weiterer Kandidat vorhanden ist, ist er notwendig.",qwen/qwen3.5-flash-02-23,gpt-5.4-thinking,2026-04-22T15:42:06
GC.5.1.1,Festlegung der Geschäftsprozesse,normal-SdT,voll,1.00,GC.5.1.1,Festlegung der Geschäftsprozesse,,normal-SdT,,,keep,"Nicht redundant, da dieser Kandidat den gesamten Zieltext unmittelbar und vollständig abdeckt: Er fordert die Festlegung der für den Geltungsbereich relevanten Geschäftsprozesse und enthält zusätzlich die zugehörige Guidance zu Prozesslandkarten, Managementsystemen bzw. ersatzweise technischen und organisatorischen Praktiken. Da kein weiterer Kandidat im Set vorhanden ist, würde beim Entfernen dieser Anforderung ein Kernaspekt verloren gehen.",qwen/qwen3.5-flash-02-23,gpt-5.4-thinking,2026-04-22T15:42:06
GC.5.1.2,Festlegung des Schutzbedarfs,normal-SdT,voll,1.00,GC.5.1.2,Festlegung des Schutzbedarfs,,normal-SdT,"Kandidat [1] (GC.5.1.2) enthält wortwörtlich denselben Text wie die Zielanforderung (Grundschutz++) sowohl bezüglich des [statement] als auch des [guidance]. Er deckt alle Aspekte ab: die Festlegungspflicht, die Levels 'normal' und 'hoch', die Kriterien für 'hoch' (existenziel Schaden, besonders vertraulich) und die Rolle der Institutionsleitung. Da der Inhalt identisch ist, ist keine weitere Kandidatenkombination notwendig (minimales Set).",,keep,"Notwendig: Der Kandidat entspricht der Zielanforderung wortgleich und deckt alle Kernaspekte ab (Festlegung des Schutzbedarfs, relevante Geschäftsprozesse und Informationsarten, Berücksichtigung der Geschäftsziele, Absprache mit der Institutionsleitung sowie Einstufung in normal/hoch). Ohne ihn wäre kein Kernaspekt abgedeckt.",qwen/qwen3.5-flash-02-23,gpt-5.4-thinking,2026-04-22T15:42:06
GC.5.1.3,Geschäftsprozesse mit hohem Schutzbedarf,normal-SdT,voll,1.00,GC.5.1.3,Geschäftsprozesse mit hohem Schutzbedarf,,normal-SdT,"Der Kandidat GC.5.1.3 deckt den Zieltext vollständig ab, da Statement und Guidance wortwörtlich identisch sind. Er fordert explizit die Ausführung einer dedizierten Risikobetrachtung für Geschäftsprozesse mit hohem Schutzbedarf und die Verpflichtung zur Erstellung eines separaten Dokuments zur Risikomethodik.",,keep,"Dieser Kandidat ist notwendig, da er den gesamten Zieltext vollständig und wortgleich abdeckt: sowohl die Pflicht zur dedizierten Risikobetrachtung von Geschäftsprozessen bzw. Informationsarten mit hohem Schutzbedarf als auch den Hinweis auf ein separates Dokument mit verbindlichen Vorgaben zur Risikomethodik. Es gibt keinen weiteren Kandidaten, der diese Aspekte ersetzen könnte.",qwen/qwen3.5-flash-02-23,gpt-5.4-thinking,2026-04-22T15:42:06
GC.6.1,Festlegung von Zielen für die Informationssicherheit,normal-SdT,voll,1.00,GC.6.1,Festlegung von Zielen für die Informationssicherheit,,normal-SdT,"Der Kandidat [1] GC.6.1 weist exakt denselben Inhalt und Wortlaut wie die Zielanforderung auf. Sowohl der [statement]-Teil (MUSS konkrete und messbare Ziele festlegen) als auch der [guidance]-Teil (Bezug zu Geschäftszielen, Messbarkeit, Beispiel, Kontext/Parteien) sind identisch. Es liegt keine inhaltliche Lücke vor, da die Anforderung der Wahl 'identischen' Text aus dem Kompendium selbst entspricht. Kein weiterer Kandidat ist notwendig, da der minimale Set die Abdeckung vollständig leistet.",,keep,"Der Kandidat ist notwendig, da er den gesamten Zieltext vollständig und unverändert abdeckt: die Festlegung konkreter und messbarer Informationssicherheitsziele auf Basis der identifizierten Rahmenbedingungen sowie den Bezug zu Geschäftszielen, Kontext und interessierten Parteien. Es gibt keinen anderen Kandidaten, der diese Aspekte alternativ abdecken könnte.",qwen/qwen3.5-flash-02-23,gpt-5.4-thinking,2026-04-22T15:42:06
